,project,has_repo,repo_sha,repo_commits,repo_size,has_wiki,wiki_sha,wiki_commits,wiki_size,image_refs,normal_analysis,has_readme,wiki_pages,extended_analysis,has_readme_ever,wiki_pages_ever
1,freeCodeCamp/freeCodeCamp,TRUE,5384d7094681a1f2e959b2a89b536274fd8d4bee,20725,465508,TRUE,0cb15c5a7872a5ffaba7075610285aae876e4295,2111,16332,7,COMPLETED,TRUE,833,TIMEOUT,,
2,996icu/996.ICU,TRUE,fbf9e8ca7dafc3db6bf1af7c2a4f4c4271c8e1c3,1035,353144,FALSE,,,,4,COMPLETED,TRUE,0,COMPLETED,TRUE,0
3,EbookFoundation/free-programming-books,TRUE,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,4569,16032,TRUE,f2c8b281eea2460c2651c91f502c6f073423e42a,64,252,19,COMPLETED,TRUE,5,COMPLETED,TRUE,14
4,jwasham/coding-interview-university,TRUE,ca54cd2de55616aec9e8104431c36efe4027fdfa,794,23156,TRUE,8cf546f386c6a8d1d82f70faef87c20b29f80141,11,200,5,COMPLETED,TRUE,4,COMPLETED,TRUE,4
5,sindresorhus/awesome,TRUE,6e4c2a13355020b9f57b330db12696f30b384ec1,898,2016,TRUE,9b31a1b7d9e4439eb66d18c8c5d29e1be27a281e,8,188,0,COMPLETED,FALSE,1,COMPLETED,FALSE,2
6,kamranahmedse/developer-roadmap,TRUE,9c6438726a80aa9865309d772ac6a698dcbcc958,778,166948,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,TRUE,0
7,vuejs/vue,TRUE,0fabda7a3b016c1c0cb5d92f5d8efc35f0dbde40,3209,37612,TRUE,4fd5e0a16bed70b390aaa94fa1bbb0417ec52f18,254,356,9,COMPLETED,TRUE,4,COMPLETED,TRUE,47
8,facebook/react,TRUE,56389e81ffe17c97f3137f18cc6446a4b2c956de,10193,220552,TRUE,5f2ebdb58f7ca25bc3f657e7292cdd86c40f8d18,2331,1560,4,COMPLETED,TRUE,1,COMPLETED,TRUE,330
9,donnemartin/system-design-primer,TRUE,7a094cec63795a3ebbaacebdf9dc4294cd3179b2,302,25004,FALSE,,,,39,COMPLETED,TRUE,0,COMPLETED,TRUE,0
10,tensorflow/tensorflow,TRUE,9358dda695280e201aad17417b7cbff2bc91cfa4,78832,1327888,TRUE,fe9db460af781f286bccedb5f66c6b3a62436801,2,192,7,COMPLETED,TRUE,2,TIMEOUT,,
