code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,doc_link,source_link
.layer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/examples/pages/selector.html#L36
.parallax(),repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/examples/jquery_separate_axis_data.html#L36
0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,741,739,739,739,739,739,739,739,739,739,741,723,730,730,746,748,748,750,754,755,755,755,756,3248,3248,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3260,4531,4531,4536,4542,4544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L5
0.1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,775,775,775,775,775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L23
0.5,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,142,142,142,142,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L252
1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,409,411,409,409,409,409,409,409,409,408,408,398,403,403,409,410,410,411,414,422,422,422,422,2022,2022,2025,2025,2025,2025,2025,2029,2029,2029,2029,2029,2029,2028,2028,2031,3093,3093,3096,3099,3099,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L5
10,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,17,17,17,17,17,17,17,17,17,18,18,18,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,63,63,63,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L173
10.0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/yarn.lock#L644
@mwagerfield,repo,README.md,-,6,6,6,6,6,6,6,5,5,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/11c7fb9cdf641f554ee85c925441fc72edd11998/source/parallax.js#L3
@wagerfield,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L3
