code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,rev_141,rev_142,rev_143,rev_144,rev_145,rev_146,rev_147,rev_148,doc_link,source_link
5B,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,6,6,6,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,30,30,30,30,30,30,30,30,30,30,30,30,30,30,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
5D,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,87,87,87,87,87,87,87,87,87,87,87,87,75,75,75,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
8B,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,12,12,5,5,23,23,23,23,23,23,23,56,56,56,56,56,56,56,56,56,56,56,56,33,33,33,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
8C,repo,README.md,-,-,-,-,-,-,-,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,28,28,8,8,8,8,8,8,8,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
8D,repo,README.md,-,-,-,-,-,-,-,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,2,2,3,3,18,18,18,18,18,18,18,21,21,21,21,21,21,21,21,21,21,21,21,3,3,3,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
8E,repo,README.md,-,-,-,-,-,-,-,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
8F,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4,4,4,4,16,16,1,1,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/c53f09b73d62bba97d96fd4a985706e406812f2d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.1b439e36.js.map#L1
9B,repo,README.md,-,-,-,-,-,-,-,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,20,20,11,11,26,26,26,26,26,26,26,57,57,57,57,57,57,57,57,57,57,57,57,31,31,31,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
9C,repo,README.md,-,-,-,-,-,-,-,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,20,20,9,9,7,7,7,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18,11,11,11,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
9D,repo,README.md,-,-,-,-,-,-,-,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,46,46,8,8,9,9,9,9,9,9,9,16,16,16,16,16,16,16,16,16,16,16,16,7,7,7,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
9E,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,8,8,12,12,12,12,12,12,12,78,78,78,78,78,78,78,78,78,78,78,78,66,66,66,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
9F,repo,README.md,-,-,-,-,-,-,-,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,10,10,9,9,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,0,0,0,0,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
AB,repo,README.md,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/41dcea34d3a220988e19c34ab88b2822d02c1be9/vuehr/package-lock.json#L6619
AE,repo,README.md,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/img/fontawesome-webfont.912ec66d.svg#L42
ANY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
AS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
BA,repo,README.md,-,-,-,-,-,-,-,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
BASIS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/mailserver/mvnw.cmd#L14
BC,repo,README.md,-,-,-,-,-,-,-,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
BD,repo,README.md,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
BE,repo,README.md,-,-,-,-,-,-,-,0,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,8,8,8,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vhr/vhrserver/vhr-web/src/main/resources/static/js/chunk-vendors.0a8f9d11.js.map#L1
BF,repo,README.md,-,-,-,-,-,-,-,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/lenve/vhr/blob/2c923226cf49237d6d0a839f0a204954968d47d5/README.md,https://github.com/lenve/vhr/blob/760d8fa4026260c7f61b347b4b3a308c311ea74d/vuehr/package-lock.json#L9664
