code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,doc_link,source_link
@sweetalert,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,24,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/package.json#L66
CSS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L237
DD6B55,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L94
IE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/lib/modules/utils.js#L34
JS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/gulpfile.js#L73
JSX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,91,91,91,91,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/docs/guides/index.html#L173
JavaScript,repo,README.md,0,0,0,0,0,0,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,26,33,33,33,33,34,34,34,34,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/src/polyfills.js#L17
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,194,210,210,210,210,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/package.json#L96
NPM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L233
SweetAlert,repo,README.md,6,7,5,5,5,4,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,13,15,15,15,16,16,16,16,15,15,15,16,18,18,21,23,29,29,28,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29,33,33,33,33,47,47,47,47,47,47,47,47,47,50,55,54,54,55,55,55,55,55,55,57,58,58,58,58,58,63,63,63,63,63,63,63,63,63,63,70,70,70,70,70,70,70,85,85,85,85,85,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/typings/sweetalert.d.ts#L1
