code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,doc_link,source_link
@microsoft,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/192ef66f3007f5c1df23477b2ad97824a24477c6/.github/CODEOWNERS#L2
API,repo,README.md,0,0,5,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,125,125,128,131,142,143,143,144,144,144,149,149,154,156,156,156,156,156,156,157,169,169,169,277,277,277,277,277,277,277,277,316,317,317,307,307,307,307,307,307,306,307,307,307,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/192ef66f3007f5c1df23477b2ad97824a24477c6/graph/patterns/subtypes.md#L3
ConsiderationsForServiceDesign,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/192ef66f3007f5c1df23477b2ad97824a24477c6/azure/README.md#L5
GuidelinesGraph,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/192ef66f3007f5c1df23477b2ad97824a24477c6/graph/patterns/namespace.md#L41
HTTP,repo,README.md,-,-,-,-,-,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,75,75,75,75,77,77,77,77,77,77,77,77,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/36224ba86f6a85c11ac5ae8e0a19830b2ff58bb1/Guidelines.md#L18
README,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/192ef66f3007f5c1df23477b2ad97824a24477c6/azure/README.md#L7
REST,repo,README.md,0,0,5,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,47,47,47,47,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,62,62,63,63,64,64,64,64,64,64,79,79,78,81,81,81,83,83,83,84,84,84,84,107,107,107,107,107,107,107,107,102,102,102,102,102,102,102,102,102,102,102,102,101,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/192ef66f3007f5c1df23477b2ad97824a24477c6/graph/patterns/namespace.md#L41
RESTful,repo,README.md,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/36224ba86f6a85c11ac5ae8e0a19830b2ff58bb1/Guidelines.md#L18
SHOULD,repo,README.md,-,-,-,-,-,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,91,91,91,91,91,91,91,91,91,92,105,105,105,105,105,106,106,106,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/36224ba86f6a85c11ac5ae8e0a19830b2ff58bb1/Guidelines.md#L19
USA,repo,README.md,-,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/microsoft/api-guidelines/blob/b253c4b790c04ca31c4e5654d8c7cd7d21d38ba3/README.md,https://github.com/microsoft/api-guidelines/blob/c9b5060982182f536c4cb5da038ae10dda0f91ad/Guidelines.md#L149
