code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,doc_link,source_link
EnterpriseQualityCoding,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/6f865ccdea3b63c10de92ca232686bb86cfb8d47/README.md,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/pom.xml#L11
FizzBuzz,repo,README.md,.,.,.,.,.,.,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,14,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/6f865ccdea3b63c10de92ca232686bb86cfb8d47/README.md,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/src/test/java/TestConstants.java#L2
FizzBuzzEnterpriseEdition,repo,README.md,.,.,.,.,.,.,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/6f865ccdea3b63c10de92ca232686bb86cfb8d47/README.md,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/settings.gradle#L1
else,repo,README.md,.,.,.,.,.,.,7,7,8,8,8,8,8,8,8,8,8,8,8,9,11,13,13,14,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,22,22,22,22,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/6f865ccdea3b63c10de92ca232686bb86cfb8d47/README.md,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/strategies/comparators/integercomparator/ThreeWayIntegerComparator.java#L23
if,repo,README.md,.,.,.,.,.,.,10,10,11,11,11,11,11,11,11,11,11,11,11,12,14,16,16,18,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,46,46,46,46,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/6f865ccdea3b63c10de92ca232686bb86cfb8d47/README.md,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/visitors/FizzBuzzOutputGenerationContextVisitor.java#L24
FizzBuzzEnterpriseEdition,wiki,Home.asciidoc,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,3,3,3,.,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/wiki/Home/b69417bb9fc6aabe90fa2b6a7149f6e2ff41fa87,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/cdfac751e51e18607b67d6ca3794a8d703863aa9/settings.gradle#L1
FizzBuzz,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/wiki/Home/82ad4c31c02b382cef3252c6f90aa5cc54762799,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/src/test/java/TestConstants.java#L2
FizzBuzzEnterpriseEdition,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/wiki/Home/82ad4c31c02b382cef3252c6f90aa5cc54762799,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/4922c077c07a3744ae67ee8a932786f15bf57411/settings.gradle#L1
