code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
BY,repo,README.md,4,3620,3620,4141,4145,4145,4145,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/svgs/solid/z.svg#L1
CC,repo,README.md,4,3620,3620,4141,4145,4145,4145,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/svgs/solid/z.svg#L1
FortAwesome,repo,README.md,7,24,24,30,30,30,35,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/js-packages/@fortawesome/free-solid-svg-icons/package.json#L13
GPL,repo,README.md,1,7,7,7,7,7,7,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/js-packages/@fortawesome/free-solid-svg-icons/LICENSE.txt#L7
MIT,repo,README.md,5,3646,3646,4168,4172,4172,4172,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/svgs/solid/z.svg#L1
OFL,repo,README.md,5,3642,3642,4166,4170,4170,4170,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/svgs/solid/z.svg#L1
SIL,repo,README.md,3,3633,3633,4157,4161,4161,4161,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/svgs/solid/z.svg#L1
patch,repo,README.md,0,0,0,2,2,2,2,https://github.com/FortAwesome/Font-Awesome/blob/2360bd54ca4abe8e013d424e6679a397e9b717c8/README.md,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/metadata/sponsors.yml#L475
.fa-border,wiki,Bootstrap-Caveats.md,0,45,45,45,45,45,45,https://github.com/FortAwesome/Font-Awesome/wiki/Bootstrap-Caveats/0cb46631c042dcd933ddde0bed9e5b613dedee4e,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/js-packages/@fortawesome/fontawesome-svg-core/styles.css#L206
.fa-fw,wiki,Bootstrap-Caveats.md,0,13,13,13,13,13,13,https://github.com/FortAwesome/Font-Awesome/wiki/Bootstrap-Caveats/0cb46631c042dcd933ddde0bed9e5b613dedee4e,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/js-packages/@fortawesome/fontawesome-svg-core/styles.css#L188
FortAwesome,wiki,Bootstrap-Caveats.md,7,24,24,30,30,30,35,https://github.com/FortAwesome/Font-Awesome/wiki/Bootstrap-Caveats/0cb46631c042dcd933ddde0bed9e5b613dedee4e,https://github.com/FortAwesome/Font-Awesome/blob/b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c/js-packages/@fortawesome/free-solid-svg-icons/package.json#L13
