code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
10QPS,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L19
200QPS,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L19
@JobDeer,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L44
ABC,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L57
API,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L101
AWS,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L121
AngularJS,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L116
BAE,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L121
DEF,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L59
EmberJS,repo,README.md,-,0,0,1,1,2,3,4,5,6,7,8,9,-,-,-,-,-,-,-,-,-,-,-,https://github.com/geekcompany/ResumeSample/blob/b7c06ba37071ee5e6605b619157a00f12353a171/README.md,https://github.com/geekcompany/ResumeSample/blob/c9611a724bc79dc0f406ade8226fd8cff7ca6cbe/web.md#L116
