code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
/,wiki,ApiCompat.md,1,2,2,1,https://github.com/dotnet/corefx/wiki/ApiCompat/9591ad93ed59bb34c7ece0874b9861a4ab148a6f,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L3
NOT,wiki,ApiCompat.md,1,1,1,1,https://github.com/dotnet/corefx/wiki/ApiCompat/9591ad93ed59bb34c7ece0874b9861a4ab148a6f,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L1
as,wiki,ApiCompat.md,0,1,1,0,https://github.com/dotnet/corefx/wiki/ApiCompat/9591ad93ed59bb34c7ece0874b9861a4ab148a6f,https://github.com/dotnet/corefx/blob/76daaf5b839d02da1756e23e12a87e84841db07f/ISSUE_TEMPLATE.md#L3
NOT,wiki,Building-.NET-Core--2.x-on-FreeBSD.md,1,1,1,1,https://github.com/dotnet/corefx/wiki/Building-.NET-Core--2.x-on-FreeBSD/bd877600e1e3e7f14cd7b1304782201e45e4fd71,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L1
#,wiki,Checking-out-the-code-repository.md,0,2,2,0,https://github.com/dotnet/corefx/wiki/Checking-out-the-code-repository/823e8476d1e067aad56b6b4cddae6fd0b17938fc,https://github.com/dotnet/corefx/blob/76daaf5b839d02da1756e23e12a87e84841db07f/ISSUE_TEMPLATE.md#L1
README,wiki,Hackathon.md,1,1,2,2,https://github.com/dotnet/corefx/wiki/Hackathon/a4d355ecdf34f30d42b45f059f5417d8182a6d33,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L4
README,wiki,Home.md,1,1,2,2,https://github.com/dotnet/corefx/wiki/Home/f83b2d49e899e07b2d2f18093233475c44fd51bf,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L4
README,wiki,Issues.md,1,1,2,2,https://github.com/dotnet/corefx/wiki/Issues/6d2fa1bd556c1bdd3c091a62816ea04b1cc490e0,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L4
README,wiki,Links.md,1,1,2,2,https://github.com/dotnet/corefx/wiki/Links/23eace6f3bc734b98ba530e2ec36fcec18cf34c2,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L4
README,wiki,New-contributor-Docs.md,1,1,2,2,https://github.com/dotnet/corefx/wiki/New-contributor-Docs/76917049d2e8954efd57b20691e3d81e4781a450,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L4
NOT,wiki,Pick-issue.md,1,1,1,1,https://github.com/dotnet/corefx/wiki/Pick-issue/63c90f57ed958713028569c60b6a38ce6e0b532b,https://github.com/dotnet/corefx/blob/d305cd227d9a6321037040ea0894fc1b9aebbb0a/CONTRIBUTING.md#L1
