code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,doc_link,source_link
-d,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/demo13/package.json#L7
.bind(this),repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/demo11/index.html#L29
.focus(),repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/7f6638444265148c96b5f032a1dccea305356078/demo07/index.html#L13
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,73,73,73,73,47,47,47,47,47,47,47,47,47,47,47,47,47,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/build/react.js#L3126
BSD,repo,README.md,503,503,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,670,670,670,670,165,165,165,165,165,165,165,165,165,165,165,165,165,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/build/react.js#L9
CDN,repo,README.md,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c677442fc25cd54fe85bbf3bc134e34b330bb1a6/exampls/jquery-mobile/js/app.js#L135
CSS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,50,50,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/build/react.js#L433
DOCTYPE,repo,README.md,-,-,-,9,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/demo12/index.html#L1
DOM,repo,README.md,-,-,-,-,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,389,389,389,389,389,389,389,389,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,741,741,741,741,231,231,231,231,231,231,231,231,231,231,231,231,231,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/build/react.js#L290
HTML,repo,README.md,44,44,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,https://github.com/ruanyf/react-demos/blob/b5beb9c5332638957cb11ba0a1c335a550e7c065/README.md,https://github.com/ruanyf/react-demos/blob/c67bb1d85aef2e3f9597cf7bdd03a91265f4e6d1/build/react.js#L704
