code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
--env,repo,README.md,2,2,2,2,2,2,2,2,6,6,6,6,6,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/scripts/cf.js#L17
.env,repo,README.md,6,6,6,6,6,6,6,6,-,-,-,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/f49d756682d10057c832995fc1245c1e57f1ede7/scripts/deploy.js#L23
.github,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/package.json#L116
.vscode,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/package.json#L118
3A,repo,README.md,1,1,1,1,1,11,11,11,12,12,12,12,12,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/yarn.lock#L6233
@yarnpkg,repo,README.md,-,-,-,-,-,134,134,134,134,134,134,134,134,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/sdks/integrations.yml#L1
API,repo,README.md,12,12,12,12,12,13,13,13,11,11,11,10,9,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/workers/proxy.ts#L17
CD,repo,README.md,4,4,4,4,4,6,6,6,6,6,6,6,6,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/releases/yarn-4.0.0-rc.6.cjs#L63
CF,repo,README.md,-,-,-,-,-,-,-,-,4,4,4,4,4,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/releases/yarn-4.0.0-rc.6.cjs#L9
CI,repo,README.md,27,27,27,27,27,30,30,30,31,31,31,29,29,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/releases/yarn-4.0.0-rc.6.cjs#L9
CLOUDFLARE_ACCOUNT_ID,repo,README.md,2,2,2,2,2,2,2,2,-,-,-,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/f49d756682d10057c832995fc1245c1e57f1ede7/scripts/deploy.js#L31
CLOUDFLARE_API_TOKEN,repo,README.md,2,2,2,2,2,2,2,2,-,-,-,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/f49d756682d10057c832995fc1245c1e57f1ede7/scripts/deploy.js#L33
CLOUDFLARE_ZONE_ID,repo,README.md,1,1,1,1,1,1,1,1,-,-,-,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/f49d756682d10057c832995fc1245c1e57f1ede7/scripts/deploy.js#L32
CSS,repo,README.md,1,1,1,1,1,0,0,0,0,0,0,0,0,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/1d9509be4bc3b0bf6492042673b575ef745b983d/.yarn/plugins/@yarnpkg/plugin-interactive-tools.cjs#L34
ESLint,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.eslintrc.cjs#L5
GitHub,repo,README.md,17,17,17,17,17,18,18,18,18,18,18,19,19,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/routes/Home.tsx#L4
GraphQL,repo,README.md,11,11,11,11,11,11,11,11,10,10,10,7,7,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/workers/proxy.ts#L17
HTML,repo,README.md,6,6,6,6,6,6,6,6,7,7,7,6,5,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/workers/transform.ts#L7
IMPORTANT,repo,README.md,2,2,2,2,2,1,1,1,1,1,1,1,1,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.github/CONTRIBUTING.md#L146
JS,repo,README.md,5,5,5,5,5,8,8,8,8,8,8,8,8,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/tsconfig.json#L25
LICENSE,repo,README.md,9,9,9,9,9,5,5,5,5,5,5,5,5,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/releases/yarn-4.0.0-rc.6.cjs#L763
MIT,repo,README.md,66,66,66,66,66,60,59,59,59,59,64,59,63,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/workers/transform.ts#L2
NAME,repo,README.md,-,-,-,-,-,-,-,-,5,5,5,5,5,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/releases/yarn-4.0.0-rc.6.cjs#L134
QA,repo,README.md,1,1,1,1,1,15,15,15,-,-,-,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/f49d756682d10057c832995fc1245c1e57f1ede7/config.ts#L31
TypeScript,repo,README.md,6,6,6,6,6,13,14,14,14,14,14,14,15,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/workers/bindings.d.ts#L4
UI,repo,README.md,7,7,7,7,7,9,9,9,9,9,9,9,9,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/theme/typography.ts#L10
VS,repo,README.md,2,2,2,2,2,5,5,5,5,5,5,5,5,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/releases/yarn-4.0.0-rc.6.cjs#L271
VSCode,repo,README.md,6,6,6,6,6,16,16,16,16,16,16,16,16,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/.yarn/sdks/typescript/lib/tsserverlibrary.js#L28
[,repo,README.md,2484,2484,2484,2484,2484,2943,2943,2943,2947,2947,2947,2912,2915,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/workers/transform.ts#L46
common,repo,README.md,2,2,2,2,5,6,6,6,6,6,6,6,7,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/yarn.lock#L2581
config,repo,README.md,81,81,81,81,81,88,88,88,74,74,74,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/f050cfd3fe3d3c2d190b6ca265e4c908d232e48d/yarn.lock#L1765
config.ts,repo,README.md,2,2,2,2,2,2,2,2,-,-,-,-,-,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,code_element is a file name
core,repo,README.md,216,216,216,192,198,203,203,203,215,215,217,214,218,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/yarn.lock#L32
dialogs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/README.md,https://github.com/kriasoft/react-starter-kit/blob/64208f47b7998c3c6453313ae34a76829eebab3f/common/AuthProvider.tsx#L6
