code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,doc_link,source_link
1dFCQvxZ,repo,README.md,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/a0b6dfa8fac627f41d59dd2f1b70d21f12fba556/srt/视频下载和字幕使用.md#L1
1h8QjqBlOm0Exh7orm9teMQ,repo,README.md,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/f2757f85b99a2b800f4c2e3e9ea967d9e17dfbd8/srt/README.md#L7
8C,repo,README.md,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/d3b510fc113e206ca4936106d1ea9d63c715d307/index.html#L226
9C,repo,README.md,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/code/ex8-anomaly detection and recommendation/ML-Exercise8.ipynb#L91
AA,repo,README.md,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/code/ex7-kmeans and PCA/ML-Exercise7.ipynb#L795
AC,repo,README.md,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/code/ex7-kmeans and PCA/5- PCA on face data.ipynb#L185
AD,repo,README.md,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/code/ex7-kmeans and PCA/3- kmeans for image compression.ipynb#L379
AE,repo,README.md,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/code/ex7-kmeans and PCA/5- PCA on face data.ipynb#L185
BA,repo,README.md,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/srt/3 - 6 - Inverse and Transpose (11 min).srt#L1229
II,repo,README.md,-,-,-,-,-,-,-,-,-,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/f2757f85b99a2b800f4c2e3e9ea967d9e17dfbd8/markdown/week8.md#L244
Learning(机器学习),repo,README.md,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/3cb3db74c8676874777c4c3c52b88661c856ec57/README.html#L220
ML,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/6069f36693502352a76d75f3a6e7859becda869e/code/ex7-kmeans and PCA/3- kmeans for image compression.ipynb#L99
OCR,repo,README.md,-,-,-,-,-,-,-,-,-,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/e3710f2683f971070d318be5019fd9beba7ed46f/README.md,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes/blob/f2757f85b99a2b800f4c2e3e9ea967d9e17dfbd8/markdown/week10.md#L136
