code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
@microsoft,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,9,9,9,10,11,12,13,13,13,13,14,15,15,16,16,17,18,18,18,19,20,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.zh-TW.md#L16
DOS,repo,README.md,1,33,379,379,379,379,379,379,379,385,385,385,391,396,402,407,413,419,425,431,431,431,437,443,449,455,455,455,455,461,466,466,472,472,478,484,484,484,487,493,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/v2.0/source/XENIX.ASM#L177
FAQ,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,5,5,6,6,6,7,7,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,11,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.th-TH.md#L16
LICENSE,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,8,9,10,11,12,12,12,13,15,16,17,17,16,16,17,19,19,21,21,23,25,25,25,26,28,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.zh-TW.md#L9
MIT,repo,README.md,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,6,7,8,9,10,10,10,11,12,13,14,14,15,15,16,17,17,18,18,19,20,20,20,20,21,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.zh-TW.md#L9
MS,repo,README.md,1,11,97,97,97,97,97,97,97,103,103,103,109,114,120,125,131,137,143,149,149,149,155,161,167,173,173,173,173,179,184,184,190,190,196,202,202,202,205,211,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/v2.0/source/UTILITY.txt#L19
OSI,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,9,9,9,10,11,12,12,12,12,12,13,14,14,15,15,16,17,17,17,17,18,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.tr-TR.md#L9
PC,repo,README.md,0,18,44,44,44,44,44,44,44,45,45,45,46,46,47,48,48,48,49,50,50,50,51,52,53,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/v2.0/source/UTILITY.txt#L397
PR,repo,README.md,0,0,1,1,1,1,1,1,1,3,3,3,3,3,4,4,4,5,6,7,7,7,8,9,10,10,10,9,9,10,11,11,11,11,12,13,13,13,13,14,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/v2.0/source/TCODE4.ASM#L259
README,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,5,6,6,6,7,8,9,10,10,10,10,11,12,12,13,13,14,15,15,15,16,17,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.zh-TW.md#L14
mailto:opencode,repo,README.md,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,9,9,9,10,11,12,13,13,13,13,14,15,15,16,16,17,18,18,18,19,20,https://github.com/microsoft/MS-DOS/blob/963f7e3741d992d0b8bc55bbb70cd0350abf256c/README.md,https://github.com/microsoft/MS-DOS/blob/04a3d20ff411409ab98474892b2bb1713bde0f7f/README.zh-TW.md#L16
