code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
/core/cron/check/bqjobs,repo,README.md,2,2,2,2,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/main.py#L41
/core/cron/cleanup/compute,repo,README.md,2,2,2,2,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/main.py#L46
/core/cron/cleanup/datastore,repo,README.md,2,2,2,2,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/main.py#L51
/core/cron/cleanup/storage,repo,README.md,2,2,2,2,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/main.py#L56
/core/cron/compute,repo,README.md,2,2,2,2,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/main.py#L61
API,repo,README.md,54,54,54,54,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/lib/utils/oauth2utils.py#L38
AppEngine,repo,README.md,11,11,9,9,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_test.py#L23
BQ,repo,README.md,1,1,1,1,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_run.py#L62
BigQuery,repo,README.md,48,48,48,48,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_settings.py#L21
DBM,repo,README.md,20,20,20,20,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_run.py#L122
DCM,repo,README.md,36,36,36,36,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_run.py#L122
DDM,repo,README.md,1,-,-,-,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/9a5e0023c2624c178d6fcb6052c6bf071f3ae1a3/appengine_main.py#L30
DNA,repo,README.md,43,-,-,-,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/9a5e0023c2624c178d6fcb6052c6bf071f3ae1a3/services/service-template/service_template_test.py#L15
DNACleanUpGCS,repo,README.md,1,1,1,1,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/lib/core/dna_general_settings.py#L38
DNAE,repo,README.md,-,0,3,3,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/main.py#L38
DS,repo,README.md,10,10,10,10,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_run.py#L122
DataStore,repo,README.md,3,3,3,3,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/lib/core/dna_gae_handlers.py#L149
DoubleClick,repo,README.md,4,4,4,4,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/lib/core/dna_general_settings.py#L67
ETL,repo,README.md,10,10,10,10,https://github.com/google/dnae/blob/bfa963c13fdfbd765b4f0694e46ae2407db291b3/README.md,https://github.com/google/dnae/blob/28ae951521e36aeed98d24c4206ca755a59336a2/services/service-template/service_template_run.py#L84
