code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/python-temescal/blob/ebc83f93e5ab35b83a0443e8bb8af973c0c2c32a/README.md,https://github.com/google/python-temescal/blob/79e34f07517bd42d1d6fae0aa1d3a5ddf4873837/setup.py#L36
LG,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/python-temescal/blob/ebc83f93e5ab35b83a0443e8bb8af973c0c2c32a/README.md,https://github.com/google/python-temescal/blob/79e34f07517bd42d1d6fae0aa1d3a5ddf4873837/temescal/__init__.py#L48
