code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,doc_link,source_link
<head>,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/third_party/src/default/layouts/default.hbs#L3
TypeDoc,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/third_party/src/default/partials/footer.hbs#L7
TypeStrong,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/third_party/src/default/assets/js/src/typedoc/components/NavigationAccordion.ts#L74
build:plugin,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/package.json#L12
build:theme,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/package.json#L12
class,repo,README.md,-,-,338,338,338,338,338,338,338,342,342,342,343,343,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,338,338,338,340,340,340,340,338,562,562,561,561,561,630,630,622,607,607,607,607,612,612,612,612,612,612,612,612,612,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/yarn.lock#L188
customScripts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/third_party/src/default/layouts/default.hbs#L11
customStyles,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/third_party/src/default/layouts/default.hbs#L16
interface,repo,README.md,-,-,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,75,75,75,75,75,75,75,77,77,77,77,77,77,77,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/tslint.json#L54
node_modules,repo,README.md,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/tsconfig.json#L16
typedoc.json,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/typedoc-neo-theme/blob/816af1ad344da8b61d4e425a390e87ea745da2da/README.md,https://github.com/google/typedoc-neo-theme/blob/cf3a5374912305f9dd12096ff25a043bd278cbfb/test/package.json#L14
