code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
./database/DAVIS/,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/preprocess/mask.py#L34
3D,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/ext_utils/fusion.py#L26
@inproceedings,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/PerceptualSimilarity/README.md#L134
Annotations/Full-Resolution,repo,README.md,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/scripts/render_syn.py#L122
BADJA,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/ext_utils/badja_data.py#L70
CVPR,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/PerceptualSimilarity/README.md#L8
DAVIS,repo,README.md,219,219,219,219,219,219,219,217,217,217,220,220,220,220,221,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/scripts/render_syn.py#L121
DCMAKE_BUILD_TYPE,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/docker/Dockerfile#L25
GPU,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/chamfer3D/dist_chamfer_3D.py#L25
JPEGImages,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/render_vis.py#L119
