code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
--batch_input_csv,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/test_run_batch.sh#L25
--degraded_file,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/test_run_single.sh#L23
--output_debug,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/profile_memory_batch.sh#L10
--reference_file,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/test_run_single.sh#L22
--results_csv,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/test_run_batch.sh#L26
--similarity_to_quality_model,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/commandline_parser.cc#L162
--use_speech_mode,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/commandline_parser.cc#L79
--verbose,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/test_run_single.sh#L25
.ToString(),repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol.cc#L51
.ValueOrDie(),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/54ecac3ed4958fac85e1aa95667c27487fd93fde/tests/gammatone_spectrogram_builder_test.cc#L63
