code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
.canThrow(IOException.class),repo,README.md,.,.,.,.,.,.,16,18,18,18,18,18,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/streamsupport/src/test/java/com/google/chkstream/ChkStreamThrowTest.java#L29
API,repo,README.md,.,.,.,.,.,.,0,1,1,1,1,1,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/genlib/mako_template.py#L16
ChkStream,repo,README.md,.,.,.,.,.,.,36,48,48,48,48,48,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/ChkStreams.tmpl.java#L29
ChkStream#toStream(),repo,README.md,.,.,.,.,.,.,1,1,1,1,1,1,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/common/src/main/java/com/google/chkstream/ChkStreamWrappedException.java#L17
ChkStreamWrappedException,repo,README.md,.,.,.,.,.,.,-,58,58,58,58,58,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/function/FunctionUtils.tmpl.java#L33
ChkStreams,repo,README.md,.,.,.,.,.,.,24,26,26,26,26,26,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/ChkStreams.tmpl.java#L33
Exception,repo,README.md,.,.,.,.,.,.,35,42,42,42,42,42,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/function/FunctionUtils.tmpl.java#L4
GNU,repo,README.md,.,.,.,.,.,.,34,40,40,40,40,40,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/package-info.java#L6
GPLv2,repo,README.md,.,.,.,.,.,.,7,9,9,9,9,9,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/function/FunctionUtils.tmpl.java#L4
IOException,repo,README.md,.,.,.,.,.,.,34,36,36,36,36,36,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/streamsupport/src/test/java/com/google/chkstream/ChkStreamThrowTest.java#L15
OpenJDK,repo,README.md,.,.,.,.,.,.,2,2,2,2,2,2,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/METADATA#L1
Stream,repo,README.md,.,.,.,.,.,.,75,155,155,155,155,155,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/package-info.java#L44
StreamSupport,repo,README.md,.,.,.,.,.,.,0,2,2,2,2,2,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/package-info.java#L685
