code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,doc_link,source_link
--clean_outdated_bq,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L521
--delete_db,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L520
--parallel,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/296f6d4bc3081c90e9eb4ebf0cc86d1f37a79dca/src/main.py#L514
--remove_ads,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L516
--sequential,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/d68ad9e50210ad7f2f69e7a413814106f7a42d2e/src/main.py#L514
--write_to_bq,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L518
-bq,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L518
-clean_bq,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L521
-ddb,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L520
-p,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/296f6d4bc3081c90e9eb4ebf0cc86d1f37a79dca/src/main.py#L514
