code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,doc_link,source_link
--lang,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/budoux/main.py#L116
-l,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/tests/test_main.py#L68
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/budoux/parser.py#L163
AdaBoost,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/scripts/train.py#L137
CLI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/tests/test_main.py#L14
HTML,repo,README.md,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,34,34,34,34,34,34,33,33,33,33,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/tests/test_parser.py#L47
JSON,repo,README.md,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/scripts/build_model.py#L16
JavaScript,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/javascript/README.md#L2
KNBC,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/scripts/load_knbc.py#L14
LANG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/budoux/main.py#L138
