code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,doc_link,source_link
200MB,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/common/config.h#L150
AO,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/common/config.h#L203
CSV,repo,README.md,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/tools/ufgbatch/ufgvalidate.py#L19
GLB,repo,README.md,-,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/testdata/samp_glb.csv#L1
KhronosGroup,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/tools/ufginstall/ufginstall.py#L319
OSX,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/convert/materializer.cc#L291
PATH,repo,README.md,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/ufg-config.cmake#L15
PBR,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/gltf/gltf.h#L510
PIL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/tools/ufgbatch/ufgcommon/diff.py#L29
PXR_PLUGINPATH_NAME,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/tools/ufginstall/ufginstall.py#L480
README,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/process/animation.cc#L506
USD,repo,README.md,-,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/usd_from_gltf/args.cc#L51
USDA,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/ufg_plugin/ufg_plugin.cc#L149
USDZ,repo,README.md,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/tools/ufgbatch/ufgtest.py#L21
UV,repo,README.md,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/usd_from_gltf/args.cc#L369
UsdPreviewSurface,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/1cecce67c0163a1b59a07dc9d6d98682993f1294/convert/tokens.h#L34
glTF,repo,README.md,-,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/usd_from_gltf/args.cc#L51
iOS,repo,README.md,-,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/usd_from_gltf/args.cc#L384
lib,repo,README.md,-,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,37,37,37,37,39,39,41,39,41,41,41,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/ufg_plugin/CMakeLists.txt#L29
plugInfo.json,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/ufg_plugin/CMakeLists.txt#L45
sRGB,repo,README.md,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/process/image_png.cc#L40
ufg::ConvertGltfToUsd,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/usd_from_gltf/usd_from_gltf.cc#L45
ufgtest.py,repo,README.md,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/tools/ufginstall/ufginstall.py#L474
usd_from_gltf,repo,README.md,-,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/usd_from_gltf/blob/c49b1b1abce65fdc6e1bbcd11e6240138225e9f1/README.md,https://github.com/google/usd_from_gltf/blob/6d288cce8b68744494a226574ae1d7ba6a9c46eb/usd_from_gltf/args.cc#L80
