code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,doc_link,source_link
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/d1bf3b3bea566d330c48072bb40f36280875232b/c/include/brunsli/encode.h#L14
CI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/9033c3be19cb6f0cd4ef20dd3cd838249b67f2f6/scripts/README#L1
DCMAKE_BUILD_TYPE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/300af107deecab45bec40c2df90611bb533b606b/.github/workflows/ci.yml#L119
GitHub,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/300af107deecab45bec40c2df90611bb533b606b/CONTRIBUTING.md#L5
JPEG,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,20,20,23,23,23,23,38,38,37,36,36,36,36,36,48,53,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,120,121,121,121,121,121,121,121,121,121,121,121,121,121,121,122,122,122,122,122,122,122,123,123,123,123,124,124,124,124,124,124,124,124,124,125,110,111,113,113,113,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/300af107deecab45bec40c2df90611bb533b606b/wasm/codec.cc#L34
OpenCV,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/d1bf3b3bea566d330c48072bb40f36280875232b/contrib/py/jxl_library_patches/__init__.py#L51
PIL,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/d1bf3b3bea566d330c48072bb40f36280875232b/contrib/py/jxl_library_patches/jxl_pillow.py#L6
PythonMagic,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/d1bf3b3bea566d330c48072bb40f36280875232b/contrib/py/jxl_library_patches/jxl_pythonmagick.py#L35
WASM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/57033b109f7e1866faba579447dbe305dc67b59c/.github/workflows/ci-wasm.yml#L1
XL,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,0,0,0,0,0,0,0,12,12,11,10,10,10,10,10,10,12,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,46,46,46,46,46,46,47,47,47,47,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/brunsli/blob/1a264ac8851c47ab375ed160667a289d12e09e0b/README.md,https://github.com/google/brunsli/blob/d1bf3b3bea566d330c48072bb40f36280875232b/contrib/py/jxl_library_patches/jxl_utils.py#L6
