code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
API,repo,README.md,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/ISSUERS.md#L50
AddKey,repo,README.md,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L120
GenerateKey,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L88
GetCommitment,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,4,5,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L131
ID,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/include/trust_token.h#L41
Issue,repo,README.md,-,-,-,-,4,4,4,4,5,5,6,6,6,6,6,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L164
Redeem,repo,README.md,-,-,-,-,4,5,5,5,7,7,8,8,8,8,8,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L188
Sec-Trust-Token,repo,README.md,-,-,-,-,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/demo/tt_demo.cc#L280
TrustTokenIssuer,repo,README.md,-,-,-,-,19,19,19,19,19,19,19,19,19,23,25,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L88
commitment_id,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L131
v2_allpublic,repo,README.md,-,-,-,-,3,3,4,4,4,3,3,3,3,3,3,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L62
v2_privatemetadata,repo,README.md,-,-,-,-,4,4,3,3,3,4,4,4,3,5,6,https://github.com/google/libtrusttoken/blob/89d0850ac329f57eced67acab72f3c352119ceb2/README.md,https://github.com/google/libtrusttoken/blob/4360503685a30948f02aeae327d2faecbcacc5e4/src/trust_token.cc#L65
