code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,doc_link,source_link
$EXTERNAL_NET,repo,README.md,32,32,32,34,36,38,38,38,40,42,42,42,42,42,50,50,54,54,54,54,54,57,57,57,61,63,65,65,65,67,69,69,69,69,69,69,71,76,76,76,75,79,81,81,81,81,81,83,85,87,87,87,87,91,91,91,91,95,95,95,95,95,95,102,106,106,106,106,106,106,107,107,107,107,107,107,107,107,107,107,109,109,109,109,117,117,117,119,119,119,120,120,120,120,120,120,120,122,124,124,124,124,126,128,128,131,131,131,131,135,137,137,143,143,143,143,143,143,143,143,143,144,144,144,147,153,153,153,153,153,153,153,153,157,159,159,159,159,163,165,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L832
$HOME_NET,repo,README.md,46,46,46,48,50,52,52,52,54,56,56,56,56,56,72,72,78,78,78,80,80,83,83,83,87,89,91,91,91,93,95,95,95,95,95,95,97,102,102,102,101,105,107,107,107,107,107,109,111,113,113,113,113,117,117,117,117,121,121,121,121,121,121,128,132,132,132,132,132,132,133,133,133,133,133,133,133,133,133,133,135,135,135,135,143,143,143,145,145,145,145,145,145,145,145,145,145,147,149,149,149,149,151,153,153,156,156,156,156,160,162,162,168,168,168,168,168,168,168,168,168,169,169,169,173,177,177,177,177,177,177,177,177,185,186,186,186,186,190,192,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L302
$HTTP_PORTS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,19,19,19,19,19,19,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L338
ContentOption,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,65,42,42,42,42,42,48,53,53,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,64,66,66,65,65,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L188
DNS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule.go#L152
DataPosition,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,48,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,30,34,43,43,54,54,54,54,54,54,54,54,54,54,54,60,60,60,60,60,60,60,60,60,60,60,60,60,70,70,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L868
GONIDS,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/parser_test.go#L2087
HTTP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule.go#L124
IDS,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule.go#L26
SID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,47,47,47,48,48,48,48,48,48,48,48,48,48,49,50,50,50,50,51,51,51,51,51,55,55,57,58,58,61,61,61,61,61,61,61,61,61,61,61,61,61,64,64,64,64,64,64,64,64,68,68,68,68,68,70,71,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L835
TEST,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/parser_test.go#L2087
classtype:trojan,repo,README.md,2,2,2,3,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule_test.go#L952
dns_query,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/rule.go#L246
flow:established,repo,README.md,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gonids/blob/73acd5dfaba304365efea28789efeb5c6f3b950f/README.md,https://github.com/google/gonids/blob/4d00a2956aaa66dafe6062a33b7c1af420fe78e7/parser_test.go#L1263
