code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,doc_link,source_link
content,repo,README.md,-,-,-,-,-,-,-,-,83,86,90,90,91,91,91,94,96,96,96,94,97,97,98,98,98,98,98,98,98,98,98,94,94,94,94,94,94,97,97,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/simplifyFractions.js#L39
expression_trees,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/NodeCreator.js#L3
flatten,repo,README.md,-,-,-,-,-,-,-,-,36,38,39,40,42,42,42,45,47,47,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,48,48,48,58,58,58,58,58,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/test/util/flattenOperands.test.js#L55
flattenOperands,repo,README.md,-,-,-,-,-,-,-,-,37,38,38,38,39,39,39,40,41,41,41,41,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,57,57,57,57,57,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/test/util/flattenOperands.test.js#L6
forEach,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,95,95,95,95,95,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94,94,94,94,94,94,96,100,100,101,101,104,104,104,104,104,104,104,105,109,109,109,109,110,110,111,111,113,113,113,113,114,116,117,123,124,124,124,123,124,127,127,129,129,129,130,130,130,130,130,130,130,129,129,129,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/util/removeUnnecessaryParens.test.js#L29
mathJS,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/NodeType.js#L3
node,repo,README.md,-,-,-,-,-,-,-,-,933,964,1006,1002,1035,1035,1035,1076,1112,1103,1104,1096,1197,1197,1200,1200,1200,1200,1200,1200,1200,1200,1200,1197,1197,1197,1197,1189,1194,1216,1222,1223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/test/flattenOperands.test.js#L98
op,repo,README.md,-,-,-,-,-,-,-,-,103,103,104,104,103,103,103,104,107,107,107,107,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/simplifyDivision.js#L105
simplify,repo,README.md,-,-,-,-,-,-,-,-,18,20,23,22,24,24,24,25,26,26,26,31,35,35,35,35,35,35,35,35,35,35,35,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,29,29,29,29,29,29,29,29,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/test/simplifyExpression/simplify.test.js#L7
simplifyExpression.js,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/840a77ebb2e2152d321273e16612ad2b65832968/test/simplifyBasics.test.js#L39
step,repo,README.md,-,-,-,-,-,-,-,-,62,67,86,86,89,89,89,101,112,110,115,114,121,121,133,138,138,138,138,138,138,138,138,124,124,124,124,124,122,118,118,118,120,120,120,120,120,120,120,117,112,112,110,110,110,110,103,103,103,103,103,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/test/simplifyExpression/oneStep.test.js#L93
step(expr),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/840a77ebb2e2152d321273e16612ad2b65832968/test/simplifyExpression.test.js#L14
unaryMinus,repo,README.md,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/lib/node/Type.js#L10
ADD_FRACTIONS,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/simplifyExpression/fractionsSearch/addConstantFractions.js#L76
EquationStatus,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/solveEquation/stepThrough.js#L5
NodeStatus,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/simplifyExpression/stepThrough.js#L111
SIMPLIFY_LEFT_SIDE,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/solveEquation/stepThrough.js#L354
changeGroup,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,69,69,69,69,68,69,69,69,69,69,69,69,69,69,69,69,69,69,67,67,67,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/util/flattenOperands.js#L53
changeType,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,62,62,62,62,62,62,62,62,62,62,62,62,62,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/solveEquation/solveEquation.test.js#L131
leftNode,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,61,61,63,63,63,66,66,69,69,69,69,69,69,69,69,69,69,69,72,72,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/equation.test.js#L9
newEquation,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/solveEquation/solveEquation.test.js#L15
newNode,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,378,378,378,378,394,394,394,394,394,394,394,394,394,394,394,394,401,407,407,407,407,407,411,411,415,418,433,433,433,433,433,435,458,459,459,459,459,459,459,459,459,459,459,492,492,492,492,492,492,496,496,496,496,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/simplifyExpression/oneStep.test.js#L21
oldEquation,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/solveEquation/stepThrough.js#L275
oldNode,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/simplifyExpression/stepThrough.js#L117
rightNode,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,50,50,50,50,50,53,53,53,53,53,53,53,53,53,53,53,53,53,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/equation.test.js#L10
simplifyExpression,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/simplifyExpression/simplify.test.js#L6
solveEquation,wiki,How-to-use-mathsteps.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/mathsteps/wiki/How-to-use-mathsteps/bae7ca02b2ef577be30a2b9758769d04af7a8d12,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/solveEquation/solveEquation.test.js#L4
/lib/checks,wiki,Mathsteps-organization.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/mathsteps/wiki/Mathsteps-organization/12ae76a729fd181b0f5a816d740476f0c867c8e2,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/checks/resolvesToConstant.test.js#L1
/lib/factor,wiki,Mathsteps-organization.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/mathsteps/wiki/Mathsteps-organization/12ae76a729fd181b0f5a816d740476f0c867c8e2,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/factor/factorQuadratic.test.js#L1
/lib/node/Creator.js,wiki,Mathsteps-organization.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/mathsteps/wiki/Mathsteps-organization/12ae76a729fd181b0f5a816d740476f0c867c8e2,code_element is a file name
/lib/node/Status.js,wiki,Mathsteps-organization.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/mathsteps/wiki/Mathsteps-organization/12ae76a729fd181b0f5a816d740476f0c867c8e2,code_element is a file name
/lib/simplifyExpression,wiki,Mathsteps-organization.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/mathsteps/wiki/Mathsteps-organization/12ae76a729fd181b0f5a816d740476f0c867c8e2,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/test/simplifyExpression/simplify.test.js#L6
