code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,doc_link,source_link
NodeStatus,repo,README.md,-,-,-,-,-,-,-,-,188,199,224,224,240,240,240,268,287,285,289,293,328,328,328,328,328,328,328,328,328,328,328,330,330,330,330,330,330,331,331,331,331,331,331,331,331,331,331,331,332,332,300,300,300,300,324,324,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/26addd5fe88384d5fbd16385280e24b7c5421f74/lib/util/TreeSearch.js#L3
NodeType,repo,README.md,-,-,-,-,-,-,-,-,265,273,281,280,296,296,296,305,311,311,311,304,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,324,323,323,323,323,323,323,323,323,323,323,323,325,325,325,285,285,285,285,303,303,33,33,33,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/lib/node/Type.js#L6
ParenthesisNode,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/removeUnnecessaryParens.js#L104
PolynomialTermNode,repo,README.md,-,-,-,-,-,-,-,-,72,72,72,72,72,72,72,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,75,75,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,87,87,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/26addd5fe88384d5fbd16385280e24b7c5421f74/test/PolynomialTermNode.test.js#L7
PolynomialTermOperations,repo,README.md,-,-,-,-,-,-,-,-,20,20,20,22,22,22,22,23,31,31,31,34,34,34,34,34,34,34,34,34,34,34,34,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/840a77ebb2e2152d321273e16612ad2b65832968/test/PolynomialTerm.test.js#L9
SIMPLIFY_LEFT_SIDE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/lib/solveEquation/stepThrough.js#L354
SymbolNode,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/NodeType.js#L33
TODO,repo,README.md,-,-,-,-,-,-,-,-,17,17,18,16,16,16,16,16,18,17,17,14,14,14,14,14,14,14,15,13,13,13,13,12,12,12,12,12,12,12,12,12,16,16,16,16,17,17,17,17,17,17,17,15,14,14,17,15,13,13,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/973ca8e2fa3e96b3cbfaac812e0ef733a8a9ac4d/test/solveEquation/solveEquation.test.js#L54
TRICKY,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/EquationOperations.js#L105
args,repo,README.md,-,-,-,-,-,-,-,-,274,281,299,299,303,303,303,314,320,320,320,316,365,365,367,367,367,367,367,367,367,367,367,365,365,365,365,359,367,372,372,372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mathsteps/blob/1d76b83fc68a9ec56a490f4a88247bd8cac996f8/README.md,https://github.com/google/mathsteps/blob/042f2a8ed1a022ea3208762351eae005bbe46a2a/lib/simplifyFractions.js#L45
