code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
BIGQUERY_LOCATION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L23
BQ_PROJECT_ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L22
BigQuery,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline_test.py#L98
CONTRIBUTING.md,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,code_element is a file name
CONVERSION_COLUMN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L27
CSV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline.py#L65
DATE_COLUMN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L26
DROP_COLUMNS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L29
EU,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline_test.py#L60
GCLID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline.py#L105
GCS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/cloud_function/main.py#L98
ID_COLUMNS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L28
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/setup.py#L7
NearestNeighbor,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/cocoa/nearest_consented_customers.py#L60
OCI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/setup.py#L26
PIPELINE_BUCKET,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L19
PIPELINE_REGION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L36
PROJECT_ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L32
TABLE_CONSENT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L24
TABLE_NOCONSENT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/generate_template.sh#L25
TIMESTAMP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline.py#L105
TODO(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline.py#L212
cloud_function,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/cloud_function/main_test.py#L19
main.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,code_element is a file name
non_dummy_columns,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,https://github.com/google/consent-based-conversion-adjustments/blob/3b3982a622f991702daec2dc8934730ca923793c/README.md,https://github.com/google/consent-based-conversion-adjustments/blob/225b3d8c9afeb763648bc86e500e9b222d7ab4ec/pipeline_test.py#L138
