code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
BUILD.bazel,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,code_element is a file name
BitPackedReader,repo,README.md,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/fingerprint_store.h#L62
CLT,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/2a73b6df0e2927e8d4d7a42a26df21a51971227c/index_structure.h#L65
CSV,repo,README.md,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L78
CuckooIndex,repo,README.md,8,8,8,8,8,24,24,48,48,48,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L39
CuckooKicker,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/cuckoo_kicker_test.cc#L75
DMV,repo,README.md,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/bitmap_benchmark_test.cc#L24
FingerprintStore,repo,README.md,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/fingerprint_store_test.cc#L72
IndexStructure,repo,README.md,24,24,24,26,28,33,33,34,34,34,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/zone_map.h#L36
NOTE,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/cmake/README.md#L3
RLE,repo,README.md,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/fingerprint_store.h#L90
RleBitmap,repo,README.md,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/fingerprint_store.cc#L208
bit_packing,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/cuckoo_utils.h#L31
columns_to_test,repo,README.md,1,1,1,1,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,10,10,14,14,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L24
