code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
AIY,repo,README.md,-,53,53,53,53,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3abfb8d0133e44d9d215096798eb521ec31d81bd/scripts/setup_image.sh#L193
IMAGE,repo,README.md,-,17,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3e6bc8a9610e8000676279f4ef8c0054b53be641/scripts/build_image_native.sh#L25
Makefile,repo,README.md,-,1,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,code_element is a file name
SD,repo,README.md,-,4,-,4,4,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3abfb8d0133e44d9d215096798eb521ec31d81bd/scripts/shrink_image.py#L17
TODO,repo,README.md,-,2,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3e6bc8a9610e8000676279f4ef8c0054b53be641/packages/aiy-bt-prov-server/p2p_wpas_client.py#L92
chroot,repo,README.md,-,2,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3e6bc8a9610e8000676279f4ef8c0054b53be641/scripts/build_common.py#L57
firmware_1,repo,README.md,-,1,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3e6bc8a9610e8000676279f4ef8c0054b53be641/packages/make_dpkg.sh#L58
models_1,repo,README.md,-,1,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3e6bc8a9610e8000676279f4ef8c0054b53be641/packages/make_dpkg.sh#L59
out,repo,README.md,-,4,-,4,4,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3abfb8d0133e44d9d215096798eb521ec31d81bd/packages/aiy-bt-prov-server/p2p_wpas_client.py#L101
packages,repo,README.md,-,13,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,https://github.com/google/aiyprojects-raspbian-tools/blob/3e6bc8a9610e8000676279f4ef8c0054b53be641/scripts/setup_image.sh#L60
scripts/Dockerfile,repo,README.md,-,1,-,-,-,https://github.com/google/aiyprojects-raspbian-tools/blob/9a796c589d3667c3abac04490e81a9d45514e413/README.md,code_element is a file name
