code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,doc_link,source_link
JSON,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,0,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/chat_example/lib/server/server.dart#L38
build.dart,repo,README.md,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7,8,8,8,8,8,8,8,12,-,-,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/b8751b4ee2b01460846cf21d0a50d5d645594195/example/tool/build.dart#L7
built_collection,repo,README.md,-,-,17,17,17,35,35,35,35,35,39,39,39,39,39,41,41,41,41,43,43,43,43,43,50,50,50,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/example/test/has_int_test.dart#L6
built_json,repo,README.md,-,55,55,55,55,55,56,56,54,54,54,54,54,54,54,56,56,56,56,59,63,59,59,59,74,74,74,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/example/pubspec.yaml#L7
built_value,repo,README.md,48,-,10,10,10,23,22,22,23,23,23,24,24,25,25,30,30,30,30,34,37,37,37,37,40,40,40,7,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/built_json_generator/pubspec.yaml#L4
chat_example,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,35,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/chat_example/web/main.dart#L5
enum_class,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,11,11,11,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/example/pubspec.yaml#L16
equals,repo,README.md,2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/ffdd39a65377c70df178fcf7b350a29ca82731c0/example/test/value_test.dart#L92
hashCode,repo,README.md,8,-,-,-,2,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,13,13,13,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/example/lib/value.g.dart#L131
toString,repo,README.md,13,-,-,-,12,33,33,33,33,33,31,31,31,33,33,38,38,38,38,42,41,41,41,41,59,59,59,-,https://github.com/google/built_json.dart/blob/9e045c34507c6118f85409f96812d9c4ff730963/README.md,https://github.com/google/built_json.dart/blob/0e9c973c4129401d6f62653e4e705c61eda4a702/example/lib/value.g.dart#L135
