code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,doc_link,source_link
g/,repo,README.md,.,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vim-searchindex/blob/b0788c8213210b3bd23b62847dd5a9ebbe4ad648/README.md,https://github.com/google/vim-searchindex/blob/b0788c8213210b3bd23b62847dd5a9ebbe4ad648/plugin/searchindex.vim#L48
|,repo,README.md,.,26,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vim-searchindex/blob/b0788c8213210b3bd23b62847dd5a9ebbe4ad648/README.md,https://github.com/google/vim-searchindex/blob/db64af77054fb835a0417ed1acbcc816f9328643/plugin/searchindex.vim#L18
