code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
/proto,repo,README.md,24,24,24,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/javatests/com/google/vr180/testhelpers/BUILD#L25
/system/lib/,repo,README.md,1,1,1,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/docs/README.md#L34
/system/priv-app/,repo,README.md,2,2,2,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/api/implementations/AndroidStorageStatusProvider.java#L128
3D,repo,README.md,8,8,8,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/proto/mesh.proto#L22
AndroidManifest,repo,README.md,4,4,4,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/javatests/com/google/vr180/testhelpers/BUILD#L35
CameraConfigurator,repo,README.md,12,12,12,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/capture/camera/CameraPreview.java#L63
CapabilitiesProvider,repo,README.md,21,21,21,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/javatests/com/google/vr180/communication/bluetooth/BluetoothApiHandlerTest.java#L37
DeviceInfo,repo,README.md,19,19,19,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/device/DeviceInfo.java#L18
OEM,repo,README.md,8,8,8,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/device/Hardware.java#L18
PreviewConfigProvider,repo,README.md,10,10,10,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/capture/camera/PreviewConfigProvider.java#L21
ProjectionMetadataProvider,repo,README.md,14,14,14,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/media/metadata/ProjectionMetadataProvider.java#L20
SDK,repo,README.md,1,1,1,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/javatests/com/google/vr180/testhelpers/sdk_versions.bzl#L15
UI,repo,README.md,9,9,9,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/proto/camera_internal_api.proto#L27
VR,repo,README.md,27,27,27,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/proto/camera_api.proto#L43
WiFi,repo,README.md,31,31,31,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/proto/camera_internal_api.proto#L28
YouTube,repo,README.md,4,4,4,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/docs/hardware.md#L22
iOS,repo,README.md,2,2,2,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/docs/hardware.md#L34
java/com/google/vr180/communication,repo,README.md,11,11,11,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/javatests/com/google/vr180/communication/http/BUILD#L32
sensor_fusion,repo,README.md,31,31,31,https://github.com/google/vr180/blob/5c142acf48db13894a16bb6b1462b76aa0725131/README.md,https://github.com/google/vr180/blob/f55eaa1c6835b911b7a11830ec546636a16d49da/java/com/google/vr180/capture/motion/jni/sensor_fusion.cc#L21
