code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,doc_link,source_link
-root,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/googet/blob/b43d3010a8e940400446e5f2418053412773735f/README.md,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/server/gooserve.go#L45
GooGet,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,30,30,30,31,31,31,31,31,31,31,31,32,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/googet/blob/b43d3010a8e940400446e5f2418053412773735f/README.md,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/system/system_windows.go#L38
ProgramData,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/googet/blob/b43d3010a8e940400446e5f2418053412773735f/README.md,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/install.ps1#L1
URL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/googet/blob/b43d3010a8e940400446e5f2418053412773735f/README.md,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/goolib/goolib.go#L172
dump_index,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/googet/blob/b43d3010a8e940400446e5f2418053412773735f/README.md,https://github.com/google/googet/blob/b258cae4a49c079d4ba6d3f16cb171fae75083d0/server/gooserve.go#L43
save_index,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/googet/blob/b43d3010a8e940400446e5f2418053412773735f/README.md,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/server/gooserve.go#L47
download_dir,wiki,Client.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/googet/wiki/Client/f3bc6ec0942b7650efad45281a146f3f6aa005be,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/googet_download.go#L40
GooGet,wiki,Home.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,30,30,30,31,31,31,31,31,31,31,31,32,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/googet/wiki/Home/b550edc84806e296c05085725d07288b1840a199,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/system/system_windows.go#L38
GooGet,wiki,Packaging.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,30,30,30,31,31,31,31,31,31,31,31,32,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/googet/wiki/Packaging/4f65ac7a4bdfeb052cae49cafda9c8ca47da87b6,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/system/system_windows.go#L38
JSON,wiki,Packaging.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/googet/wiki/Packaging/4f65ac7a4bdfeb052cae49cafda9c8ca47da87b6,https://github.com/google/googet/blob/23d88eaaf809f43e07a0e513d26ea3c5e5ceb445/goolib/goospec_test.go#L460
