code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
API,repo,README.md,-,-,-,-,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/39c3b5a66db973c2d8ab601df364b21e28258b89/LandscapeNotebook.ipynb#L1182
AutomatedPatentLandscaping,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/4fddef8f98a294fda86b2f6c82bcd4083647e97a/models/landscaping/LandscapeNotebook.ipynb#L9
BigQuery,repo,README.md,-,-,-,-,6,5,5,5,5,5,6,6,6,6,7,7,7,7,8,9,9,10,10,11,.,.,.,-,-,-,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,40,40,40,40,40,40,40,40,40,40,40,237,237,237,237,237,242,242,244,244,242,244,242,244,254,254,254,257,257,257,256,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/c00035df46b5a46a216c42358511d3986520eb05/tools/generate_dataset_docs.py#L28
GPU,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/46db7847e496de642ad392232963d0a5db79daa2/word2vec.py#L16
README,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,-,-,-,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/c00035df46b5a46a216c42358511d3986520eb05/models/landscaping/LandscapeNotebook.ipynb#L15
SQL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,5,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/c00035df46b5a46a216c42358511d3986520eb05/tools/bigquery-indexer/main.py#L106
TensorFlow,repo,README.md,-,-,-,-,4,4,4,4,4,4,5,5,6,6,5,5,5,5,5,5,5,5,5,5,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/46db7847e496de642ad392232963d0a5db79daa2/word2vec.py#L16
claim_text_extraction,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/patents-public-data/blob/e426e46c007d9b22865ec96b31bc7889fac02a0a/README.md,https://github.com/google/patents-public-data/blob/c00035df46b5a46a216c42358511d3986520eb05/examples/claim-text/claim_text_extraction.ipynb#L1297
