code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
<script>,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/src/json-ld.tsx#L58
@context,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,17,17,17,17,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/type-test/jsonld_func_test.ts#L7
@type,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,4,21,21,21,21,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/type-test/jsonld_func_test.ts#L8
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/.github/workflows/ci.yml#L1
CollegeOrUniversity,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/src/json-ld.tsx#L38
Helmet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/src/json-ld.tsx#L101
JSON,repo,README.md,4,4,4,4,4,4,4,4,8,8,8,10,10,10,12,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/test/jsonld_func_test.ts#L70
JsonLd,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/type-test/jsonld_component_test.tsx#L2
JsonLd<Person>,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/type-test/jsonld_component_test.tsx#L6
LD,repo,README.md,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/test/jsonld_func_test.ts#L70
alternateName,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/src/json-ld.tsx#L36
alumniOf,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/src/json-ld.tsx#L37
helmetJsonLdProp,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/type-test/jsonld_func_test.ts#L3
jsonLdScriptProps,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/test/jsonld_func_test.ts#L3
knowsAbout,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/test/jsonld_func_test.ts#L108
react-helmet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/package.json#L43
react-schemaorg,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/package.json#L2
schema-dts,repo,README.md,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,15,15,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/react-schemaorg/blob/4414f1aca11f3ac39f08b1a554f778a85c7889f9/README.md,https://github.com/google/react-schemaorg/blob/dac2d83725b210c13a0dff54e9b2271765141837/type-test/jsonld_func_test.ts#L1
