code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
GitHub,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/docs/contributing.md#L21
README,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L262
TFLite,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L38
center_x,repo,README.md,-,1,1,1,1,1,1,1,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L292
center_y,repo,README.md,-,1,1,1,1,1,1,1,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L292
cjxl_ng,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L43
dry_run,repo,README.md,-,1,1,1,1,1,1,1,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L48
encode_with_centers.py,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L21
image_dir,repo,README.md,5,4,4,4,4,4,4,4,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L22
lite_model_file,repo,README.md,7,7,7,7,7,7,7,7,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L21
new_suffix,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L46
output_dir,repo,README.md,5,5,5,5,5,5,5,5,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/README.md,https://github.com/google/attention-center/blob/27e932e95df9162b6f7313d3ec1a2336eb1e3105/encode_with_centers.py#L22
