code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,doc_link,source_link
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/35797a29f7cf451b25a33c39bfbf7f72c51ffecc/cmd/server.go#L33
DeploymentConfig,repo,README.md,-,-,1,2,2,2,2,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/35797a29f7cf451b25a33c39bfbf7f72c51ffecc/processor/processor.go#L36
GKE,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/b20d56080616b1ce026ea5d35047b05b0432b464/shifter/cmd/root.go#L40
HTTP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/35797a29f7cf451b25a33c39bfbf7f72c51ffecc/processor/route.go#L64
OpenShift,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/b20d56080616b1ce026ea5d35047b05b0432b464/shifter/cmd/server.go#L40
RedHat,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/b20d56080616b1ce026ea5d35047b05b0432b464/shifter/README.md#L13
YAML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/35797a29f7cf451b25a33c39bfbf7f72c51ffecc/api/ep_convert_yaml2yaml.go#L90
__ \/ __,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/b20d56080616b1ce026ea5d35047b05b0432b464/shifter/cmd/server.go#L35
__// __,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/35797a29f7cf451b25a33c39bfbf7f72c51ffecc/cmd/server.go#L38
____,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,https://github.com/google/shifter/blob/8776f71e41ecd904f9ccacd7eca2686b4f72767c/README.md,https://github.com/google/shifter/blob/b20d56080616b1ce026ea5d35047b05b0432b464/shifter/cmd/server.go#L34
