code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,doc_link,source_link
API,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/public/components/jobs/job-detail-view.ng#L37
API_KEY,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/dataExporterApiService.js#L21
BASE_URL,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/dataExporterApiService.js#L21
DATA_EXPORTER_API,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/dataExporterApiService.js#L21
DATA_EXPORTER_SERVICE_ACCOUNT,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/deploy.sh#L20
GCP,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/api.js#L94
GCP_SERVICE_ACCOUNT_EMAIL,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/gcsApiService.js#L22
GCS,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/utils.js#L19
JSON,repo,README.md,-,-,35,35,35,35,35,35,35,35,35,35,35,35,34,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/webpack.prod.js#L27
JSON_EXTERNAL_PHONOLOGY,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/templates/engines/merlin/engine.json#L6
JSON_PHONOLOGY,repo,README.md,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/DataSets.md#L14
LINE_INDEX,repo,README.md,-,-,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/c20462ea1f313ea65e4eb707e4915f17761e351f/ui/templates/engines/merlin/engine.json#L8
PROJECT_ID,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/templates/engines/festival/pipelineCreateRequestTmpl.json#L2
PROJECT_NAME,repo,README.md,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/deploy.sh#L16
Path,repo,README.md,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/public/components/resource-library/resource-library-view.ng#L9
SCM,repo,README.md,-,-,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/templates/engines/merlin/engine.json#L5
TAR,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/templates/engines/merlin/engine.json#L7
TTS,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/public/components/create-voice/create-voice-view.ng#L17
UI,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/gcsApiService.js#L233
acl_for_data_exporter,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/deploy.sh#L37
cloud_functions,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/deploy.sh#L35
createdBy,repo,README.md,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/public/components/jobs/list-jobs-view.ng#L20
created_by,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L96
deploy.sh,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,code_element is a file name
engine_id,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/templates/engines/merlin/engine.json#L2
engine_params,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L97
file_type,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L112
