code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,doc_link,source_link
API,repo,README.md,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,https://github.com/google/fancy-regex/blob/783f57a5c415220a6d486869af7f04e7b1ed8b60/README.md,https://github.com/google/fancy-regex/blob/8b6ea5c675abc351b5b0b49e9e68cdfe813bceb2/src/lib.rs#L51
NFA,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,https://github.com/google/fancy-regex/blob/783f57a5c415220a6d486869af7f04e7b1ed8b60/README.md,https://github.com/google/fancy-regex/blob/8b6ea5c675abc351b5b0b49e9e68cdfe813bceb2/src/compile.rs#L207
TODO,repo,README.md,10,10,10,10,10,13,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fancy-regex/blob/783f57a5c415220a6d486869af7f04e7b1ed8b60/README.md,https://github.com/google/fancy-regex/blob/45b88fac7dfa167e4d93e990dc433be7373754fd/src/vm.rs#L33
VM,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,-,https://github.com/google/fancy-regex/blob/783f57a5c415220a6d486869af7f04e7b1ed8b60/README.md,https://github.com/google/fancy-regex/blob/8b6ea5c675abc351b5b0b49e9e68cdfe813bceb2/tests/finding.rs#L66
\b,repo,README.md,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fancy-regex/blob/783f57a5c415220a6d486869af7f04e7b1ed8b60/README.md,https://github.com/google/fancy-regex/blob/8b071049637b5da7a58038f59cc6696d69fd519a/src/lib.rs#L255
