code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,rev_141,rev_142,rev_143,rev_144,rev_145,rev_146,rev_147,rev_148,rev_149,rev_150,rev_151,rev_152,rev_153,rev_154,rev_155,rev_156,rev_157,rev_158,rev_159,rev_160,rev_161,rev_162,rev_163,doc_link,source_link
ANY,repo,README.md,.,8,8,11,11,14,17,17,20,40,56,57,57,57,57,58,60,60,60,76,77,77,77,77,124,124,128,128,132,132,132,132,131,131,131,131,134,134,134,134,134,134,134,134,134,134,140,140,140,135,137,137,137,137,137,178,178,178,178,180,180,180,180,240,274,274,274,274,274,274,274,277,279,279,283,283,284,285,285,285,287,287,287,287,290,293,297,297,300,302,302,302,300,300,302,302,302,305,308,312,312,312,315,317,317,317,320,323,326,326,326,326,326,326,326,326,329,331,331,331,334,334,334,334,334,337,337,339,339,339,340,340,343,343,343,343,346,346,347,349,352,354,356,358,358,361,363,363,377,377,403,403,405,410,410,413,415,415,417,417,418,418,418,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L12
AS,repo,README.md,.,8,8,11,11,14,17,17,20,40,56,57,57,57,57,58,60,60,60,76,77,77,77,77,124,124,128,128,132,132,132,132,131,131,131,131,134,134,134,134,134,134,134,134,134,134,140,140,140,135,137,137,137,137,137,178,178,178,178,180,180,180,180,240,274,274,274,274,274,274,274,277,279,279,283,283,284,285,285,285,287,287,287,287,290,293,297,297,300,302,302,302,300,300,302,302,302,305,308,312,312,312,315,317,317,317,320,323,326,326,326,326,326,326,326,326,329,331,331,331,334,334,334,334,334,337,337,339,339,339,340,340,343,343,343,343,346,346,347,349,352,354,356,358,358,361,363,363,377,377,403,403,405,410,410,413,415,415,417,417,418,418,418,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L11
BASIS,repo,README.md,.,8,8,11,11,14,17,17,20,40,56,57,57,57,57,58,60,60,60,76,77,77,77,77,124,124,128,128,132,132,132,132,131,131,131,131,134,134,134,134,134,134,134,134,134,134,140,140,140,135,137,137,137,137,137,178,178,178,178,180,180,180,180,240,274,274,274,274,274,274,274,277,279,279,283,283,284,285,285,285,287,287,287,287,290,293,297,297,300,302,302,302,300,300,302,302,302,305,308,312,312,312,315,317,317,317,320,323,326,326,326,326,326,326,326,326,329,331,331,331,334,334,334,334,334,337,337,339,339,339,340,340,343,343,343,343,346,346,347,349,352,354,356,358,358,361,363,363,377,377,403,403,405,410,410,413,415,415,417,417,418,418,418,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L11
CONDITIONS,repo,README.md,.,10,10,13,13,16,19,19,22,42,58,59,59,59,59,60,62,62,62,78,79,79,79,79,126,126,130,130,134,134,134,134,133,133,133,133,136,136,136,136,136,136,136,136,136,136,142,142,142,137,139,139,139,139,139,180,180,180,180,182,182,182,182,242,276,276,276,276,276,276,276,279,281,281,285,285,286,287,287,287,289,289,289,289,292,295,299,299,302,304,304,304,302,302,304,304,304,307,310,314,314,314,317,319,319,319,322,325,328,328,328,328,328,328,328,328,331,333,333,333,336,336,336,336,336,339,339,341,341,341,342,342,345,345,345,345,348,348,349,351,354,356,358,360,360,363,365,365,379,379,405,405,407,412,412,415,417,417,419,419,420,420,420,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L12
CSS,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/google/fingerprinters/web/src/main/resources/fingerprinters/web/data/moodle.binproto#L3072
IS,repo,README.md,.,8,8,11,11,14,17,17,20,40,56,57,57,57,57,58,60,60,60,76,77,77,77,77,124,124,128,128,132,132,132,132,131,131,131,131,134,134,134,134,134,134,134,134,134,134,140,140,140,135,137,137,137,137,137,178,178,178,178,180,180,180,180,240,274,274,274,274,274,274,274,277,279,279,283,283,284,285,285,285,287,287,287,287,290,293,297,297,300,302,302,302,300,300,302,302,302,305,308,312,312,312,315,317,317,317,320,323,326,326,326,326,326,326,326,326,329,331,331,331,334,334,334,334,334,337,337,339,339,339,340,340,343,343,343,343,346,346,347,349,352,354,356,358,358,361,363,363,377,377,403,403,405,410,410,413,415,415,417,417,418,418,418,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L11
KIND,repo,README.md,.,8,8,11,11,14,17,17,20,40,56,57,57,57,57,58,60,60,60,76,77,77,77,77,124,124,128,128,132,132,132,132,131,131,131,131,134,134,134,134,134,134,134,134,134,134,140,140,140,135,137,137,137,137,137,178,178,178,178,180,180,180,180,240,274,274,274,274,274,274,274,277,279,279,283,283,284,285,285,285,287,287,287,287,290,293,297,297,300,302,302,302,300,300,302,302,302,305,308,312,312,312,315,317,317,317,320,323,326,326,326,326,326,326,326,326,329,331,331,331,334,334,334,334,334,337,337,339,339,339,340,340,343,343,343,343,346,346,347,349,352,354,356,358,358,361,363,363,377,377,403,403,405,410,410,413,415,415,417,417,418,418,418,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L12
LICENSE,repo,README.md,.,8,8,11,11,14,17,17,20,40,56,57,57,57,57,58,60,60,60,76,77,77,77,77,124,124,128,128,132,132,132,132,131,131,131,131,134,134,134,134,134,134,134,134,134,134,140,140,140,135,137,137,137,137,137,310,310,394,394,396,396,396,396,457,491,491,491,491,491,491,491,494,496,496,500,500,501,502,502,502,504,504,504,504,507,510,514,514,517,519,519,519,517,517,519,519,519,522,525,529,529,529,532,534,534,534,537,540,543,543,543,543,543,543,543,543,546,548,548,548,551,551,551,551,551,554,554,556,556,556,557,557,560,560,560,560,563,563,564,566,569,571,573,575,575,578,580,580,594,594,620,620,622,627,627,630,632,632,634,634,635,635,635,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L8
LLC,repo,README.md,.,6,6,9,9,12,15,15,18,38,56,57,57,57,57,58,60,60,60,60,61,61,61,59,106,106,106,106,110,110,110,110,109,109,109,109,112,112,112,112,112,112,112,112,112,112,118,118,118,113,113,113,113,113,113,154,154,154,154,154,154,154,154,214,214,214,214,214,214,214,214,217,219,219,219,219,220,221,221,221,221,221,221,221,224,227,227,227,230,230,230,230,230,230,230,230,230,233,236,236,236,236,239,239,239,239,242,245,248,248,248,248,248,248,248,248,251,251,251,251,254,254,254,254,254,257,257,259,259,259,260,260,263,263,263,263,266,266,267,269,272,272,272,274,274,277,277,277,277,277,303,303,303,308,308,311,311,311,311,311,312,312,312,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/google/portscan/nmap/src/test/java/com/google/tsunami/plugins/portscan/nmap/option/validator/PortRangeValidatorTest.java#L2
OF,repo,README.md,.,9,9,12,12,15,18,18,21,41,57,58,58,58,58,59,61,61,61,77,78,78,78,78,125,125,129,129,133,133,133,133,132,132,132,132,135,135,135,135,135,135,135,135,135,135,141,141,141,136,138,138,138,138,138,179,179,179,179,181,181,181,181,241,275,275,275,275,275,275,275,278,280,280,284,284,285,286,286,286,288,288,288,288,291,294,298,298,301,303,303,303,301,301,303,303,303,306,309,313,313,313,316,318,318,318,321,324,327,327,327,327,327,327,327,327,330,332,332,332,335,335,335,335,335,338,338,340,340,340,341,341,344,344,344,344,347,347,348,350,353,355,357,359,359,362,364,364,378,378,404,404,406,411,411,414,416,416,418,418,419,419,419,https://github.com/google/tsunami-security-scanner-plugins/blob/9f3bc20fdc7d331152119727565da833bdec1eea/README.md,https://github.com/google/tsunami-security-scanner-plugins/blob/825ca9d1fb4208a4026153cb53e4c763f4c3d05f/govtech/detectors/cves/cve_2020_3452/src/test/java/com/google/tsunami/plugins/detectors/cves/cve_2020_3452/CVE20203452DetectorTest.java#L12
