code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
'$OPT_OUT',repo,README.md,-,6,6,6,6,6,6,6,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L168
.push(callback),repo,README.md,-,3,3,3,3,3,3,3,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L27
<head>,repo,README.md,-,-,-,-,1,1,1,1,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/example.html#L19
<script>,repo,README.md,-,-,-,-,1,1,1,1,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/example.html#L26
AMP,repo,README.md,0,5,5,5,5,5,5,5,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/package.json#L4
AMP_TOKEN,repo,README.md,-,12,12,14,14,14,16,16,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L42
API,repo,README.md,0,3,3,3,3,3,5,5,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L91
CID,repo,README.md,0,6,6,8,8,8,8,8,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L42
Error,repo,README.md,-,9,9,9,9,9,10,10,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/index.js#L70
ID,repo,README.md,-,4,4,5,5,5,5,5,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L326
alert('Client ID:' + cid),repo,README.md,-,1,1,1,1,1,1,1,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/example.html#L36
ampCidApiOnload(callback),repo,README.md,-,2,2,2,2,2,2,2,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L26
ampCidApiOnload(function(api),repo,README.md,-,11,11,11,11,11,13,13,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L44
apiKey,repo,README.md,-,1,1,2,2,2,6,6,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/index.js#L41
callback,repo,README.md,-,19,19,26,26,26,30,30,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L317
cid,repo,README.md,-,15,15,15,15,15,19,19,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/README.md,https://github.com/google/amp-client-id-library/blob/04ede365b812d85917b38403239901c3c4be3e33/test.js#L30
