code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
CA,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,3,3,34,34,34,34,34,35,35,37,37,55,56,56,56,56,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/pkg/store/store.go#L30
CRL,repo,README.md,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/pkg/easypki/easypki_test.go#L153
IT,repo,README.md,.,.,.,.,.,.,.,.,.,.,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,5,5,5,5,5,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/pkg/store/local_test.go#L155
PEM,repo,README.md,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/pkg/store/local_test.go#L165
PKI,repo,README.md,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,12,13,13,13,13,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/client-auth/client-auth.go#L26
PKI_COUNTRY,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/env.sh#L4
PKI_LOCALITY,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/env.sh#L5
PKI_ORGANIZATION,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/env.sh#L2
PKI_ORGANIZATIONAL_UNIT,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/env.sh#L3
PKI_PROVINCE,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/env.sh#L6
PKI_ROOT,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/example/env.sh#L1
US,repo,README.md,.,.,.,.,.,.,.,.,.,.,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/pkg/store/local_test.go#L155
init,repo,README.md,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/c42a84ae556034b9fe2f9710603b1c10e8c5588f/pkg/easypki/easyca_test.go#L96
issued,repo,README.md,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/c42a84ae556034b9fe2f9710603b1c10e8c5588f/pkg/easypki/easyca_test.go#L46
private,repo,README.md,.,.,.,.,.,.,.,.,.,.,12,12,12,12,12,12,12,13,13,18,18,18,18,22,23,23,24,24,25,25,25,25,-,https://github.com/google/easypki/blob/d7ae2721b8268b1e2880656504f41d4ae94c902b/README.md,https://github.com/google/easypki/blob/dd4d79f910a302184cc1a4a135c4cb5d44eccd68/pkg/store/store.go#L33
