code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
artifactId,repo,README.md,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/inject-common/blob/1d80014eb4d60b551f19e2bf212439d623a834de/README.md,https://github.com/google/inject-common/blob/760d6664f46b70c6405c1927cd392c6770403d7e/tools/pom-template.xml#L22
groupId,repo,README.md,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/inject-common/blob/1d80014eb4d60b551f19e2bf212439d623a834de/README.md,https://github.com/google/inject-common/blob/760d6664f46b70c6405c1927cd392c6770403d7e/tools/pom-template.xml#L21
inject:inject,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/inject-common/blob/1d80014eb4d60b551f19e2bf212439d623a834de/README.md,https://github.com/google/inject-common/blob/760d6664f46b70c6405c1927cd392c6770403d7e/java/com/google/common/inject/BUILD#L9
