code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,doc_link,source_link
DT,repo,README.md,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/applied-computing-series/blob/bb891584164b65cdacb0ff33a74eb160225ceee4/README.md,https://github.com/google/applied-computing-series/blob/f7c7f4fcb73767897c35913871d2811fcdecd99c/documentation/ac1_instructor_guide.md#L375
PR,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/applied-computing-series/blob/bb891584164b65cdacb0ff33a74eb160225ceee4/README.md,https://github.com/google/applied-computing-series/blob/f7c7f4fcb73767897c35913871d2811fcdecd99c/documentation/ac1_instructor_guide.md#L373
PS,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/applied-computing-series/blob/bb891584164b65cdacb0ff33a74eb160225ceee4/README.md,https://github.com/google/applied-computing-series/blob/f7c7f4fcb73767897c35913871d2811fcdecd99c/documentation/ac1_course_guide.md#L61
SQL,repo,README.md,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,48,48,48,49,49,49,49,49,49,49,49,50,50,50,59,62,62,62,59,59,59,59,109,109,109,109,109,109,109,109,109,109,109,109,https://github.com/google/applied-computing-series/blob/bb891584164b65cdacb0ff33a74eb160225ceee4/README.md,https://github.com/google/applied-computing-series/blob/f7c7f4fcb73767897c35913871d2811fcdecd99c/documentation/content_development.md#L214
