code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
Eigen::Array3f,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,56,64,64,64,64,64,64,64,64,64,64,64,64,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L96
EvalSH,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L218
EvalSHSum,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L135
GDC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics.h#L16
GetCoefficientCount,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L262
GetIndex,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L218
ImageXToPhi,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L855
ImageYToTheta,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L856
ProjectEnvironment,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L176
ProjectFunction,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L127
ProjectSparseSamples,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L145
RenderDiffuseIrradiance,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L936
RenderDiffuseIrradianceMap,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L950
