code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,doc_link,source_link
CFG,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/src/main/resources/META-INF/plugin.xml#L32
FIR,repo,README.md,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/src/main/resources/META-INF/plugin.xml#L22
FirViewer,repo,README.md,.,.,6,7,7,7,7,7,7,7,7,7,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,6,6,9,6,6,9,9,9,6,9,9,9,9,9,8,8,8,8,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/src/main/resources/META-INF/plugin.xml#L18
IDEA,repo,README.md,.,.,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/4d7bb36e96fb575c4abbaf968ac6fd1948f61a0c/.gitignore#L90
JetBrains,repo,README.md,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/build.gradle#L24
KT,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/src/main/resources/META-INF/plugin.xml#L31
KtViewer,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/31b7c31175b0b8e1b225fb3df237be5f7c9e36a1/src/main/resources/META-INF/plugin.xml#L31
PATH,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/gradlew.bat#L46
build.gradle,repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,code_element is a file name
cd,repo,README.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/Kotlin-FirViewer/blob/8b035935f0cbf9717f6ac2d4e343883969abe02c/README.md,https://github.com/google/Kotlin-FirViewer/blob/0bede8ef23dab8925dde49c9b316c7c02c6cdebb/gradlew#L39
