code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
"""",repo,README.md,-,-,-,18,18,18,18,18,18,20,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/Tester.java#L32
GitHub,repo,README.md,-,-,-,-,-,-,2,2,2,2,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/CONTRIBUTING.md#L21
JSON,repo,README.md,19,19,19,19,19,19,19,19,19,19,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/TestMain.java#L30
MyJSON,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/TestMain.java#L77
MyJSONParser,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/TestMain.java#L72
OBJECT,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/JSONFactory.java#L19
OBJECTS,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/JSON.java#L48
STRING,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/JSON.java#L35
STRINGS,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/JSON.java#L53
TODO,repo,README.md,7,7,7,7,7,7,7,7,7,7,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/MyJSONParser.java#L23
\,repo,README.md,-,-,-,7,7,7,7,7,7,7,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/TestMain.java#L48
b,repo,README.md,-,-,-,8,8,8,8,8,8,-,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/38bdf491f99684ebdf60962b5899b5984db6f5df/src/com/google/codeu/codingchallenge/Asserts.java#L40
n,repo,README.md,-,-,-,-,-,-,-,-,-,2,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/Tester.java#L32
t,repo,README.md,-,-,-,2,2,2,2,2,2,2,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/LICENSE#L183
{,repo,README.md,-,-,-,46,46,46,46,46,46,46,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/Tester.java#L20
},repo,README.md,-,-,-,46,46,46,46,46,46,46,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/README.md,https://github.com/google/codeu_coding_assessment_2017/blob/105b48cd868b52ded7838cc1960f6347e8f113b9/src/com/google/codeu/codingchallenge/Tester.java#L26
