code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
0x08000000,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/stm32_linker_layout.lds#L15
72MHz,repo,README.md,-,-,-,-,-,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/adc.h#L48
ARM,repo,README.md,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/Dockerfile#L11
AdaFruit,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L31
BusyWaitMicroseconds,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/timers.h#L40
CMSIS,repo,README.md,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/timers.h#L32
CMSIS_5,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/Dockerfile#L11
CTRL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/stm32_specifics.h#L59
GPIO,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L31
GitHub,repo,README.md,-,-,-,-,-,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/CONTRIBUTING.md#L21
