code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
ANY,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L147
AS,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L146
BASIS,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L146
CONDITIONS,repo,README.md,4,4,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L6
IS,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L146
KIND,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L147
LICENSE,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L196
OF,repo,README.md,3,3,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L147
OR,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L147
REST,repo,README.md,1,1,1,1,1,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/46664e9591922d023a6e49dbfd3c91d4f3778d58/docs/code-of-conduct.md#L73
WARRANTIES,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L147
WITHOUT,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/24d3e3a0cbc35d37950f2c7efb66ac258abbe197/LICENSE#L147
google-java-format,repo,README.md,-,-,-,-,-,5,5,10,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/cfdf499ba424902146a64c81aa34ccac8c269e3b/buildSrc/settings.gradle.kts#L6
ktlint,repo,README.md,-,-,-,-,-,6,6,9,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/cfdf499ba424902146a64c81aa34ccac8c269e3b/spotless.gradle.kts#L15
license_header.txt,repo,README.md,-,-,2,2,2,3,3,4,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/cfdf499ba424902146a64c81aa34ccac8c269e3b/spotless.gradle.kts#L9
prettier,repo,README.md,-,-,-,-,-,8,8,12,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/cfdf499ba424902146a64c81aa34ccac8c269e3b/spotless.gradle.kts#L43
spotlessApply,repo,README.md,-,-,-,-,-,1,2,2,https://github.com/google/security-annotation-tools/blob/e0faecf70c534b275445ec78705bb7fc65f6528d/README.md,https://github.com/google/security-annotation-tools/blob/cfdf499ba424902146a64c81aa34ccac8c269e3b/buildSrc/src/main/kotlin/sectypes.java.min.gradle.kts#L36
