code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
6N,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L73
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L142
Assets<SkyboxMaterial>,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L39
HEAD,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L135
Res<AssetServer>,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L38
ResMut,repo,README.md,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L39
ResMut<SkyboxTextureConversion>,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L40
SkyboxBundle,repo,README.md,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L19
SkyboxMaterial,repo,README.md,-,-,-,-,-,-,-,-,-,-,22,22,22,22,22,22,22,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L19
SkyboxPlugin,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/0bab3e719de57af77b3fa0daa4ce6a0f95296809/src/lib.rs#L28
SkyboxTextureConversion,repo,README.md,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L28
Texture::reinterpret_stacked_2d_as_array,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L98
add(SkyboxMaterial::from_texture(skybox_texture),repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L49
add_plugin(SkyboxPlugin),repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,2,2,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L32
