code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
GSCXInstaller,repo,README.md,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/Tests/FunctionalTests/Sources/GSCXTestAppDelegate.m#L20
GSCXScanner,repo,README.md,84,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,90,141,147,147,147,147,151,151,152,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/Tests/UnitTests/GSCXScannerTestsUtils.m#L19
GSCXScanner.framework,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/GSCXScanner.xcodeproj/project.pbxproj#L206
GSCXScanner.xcodeproj,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/.gitignore#L2
GTXiLib,repo,README.md,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,24,73,91,91,91,91,127,127,127,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/Tests/UnitTests/NSLayoutConstraint+GSCXUtilitiesTests.m#L21
Scan,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,24,24,24,24,24,24,24,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/Tests/UnitTests/GSCXScannerIssueTableViewSectionTests.m#L48
UI,repo,README.md,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,50,61,61,61,61,53,53,53,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/Tests/UnitTests/GSCXTestCheck.h#L50
iOS,repo,README.md,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,37,65,65,65,65,61,61,61,https://github.com/google/GSCXScanner/blob/85a6fa3688314c49746e67ae88036d5ee9f198e9/README.md,https://github.com/google/GSCXScanner/blob/ba8fca684a11c96c600a1583161dbc6d1c768976/Tests/FunctionalTests/Utils/GSCXScannerTestUtils.m#L592
