code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
Kratu(),repo,README.md,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/kratu/blob/eecdaf78014e2bf0b19766a7c0b87ab4db836d7f/README.md,https://github.com/google/kratu/blob/b9c1b8543e1b6b42183083323d1b68cf7f986ba4/js/kratu.js#L24
SE,repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/kratu/blob/eecdaf78014e2bf0b19766a7c0b87ab4db836d7f/README.md,https://github.com/google/kratu/blob/b9c1b8543e1b6b42183083323d1b68cf7f986ba4/examples/spaceshipselector/spaceships_data.csv#L17
kratu.renderReport(),repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/kratu/blob/eecdaf78014e2bf0b19766a7c0b87ab4db836d7f/README.md,https://github.com/google/kratu/blob/b9c1b8543e1b6b42183083323d1b68cf7f986ba4/examples/spaceshipselector/index.html#L46
kratu.setEntities(data),repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/kratu/blob/eecdaf78014e2bf0b19766a7c0b87ab4db836d7f/README.md,https://github.com/google/kratu/blob/b9c1b8543e1b6b42183083323d1b68cf7f986ba4/examples/adwordshealthcheck/index.html#L44
