code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
ANY,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L147
AS,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L146
BASIS,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L146
CONDITIONS,repo,README.md,4,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L6
GitHub,repo,README.md,2,2,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/contributing.md#L21
IS,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L146
KIND,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L147
LICENSE,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L196
OF,repo,README.md,3,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L147
OR,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L147
WARRANTIES,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L147
WITHOUT,repo,README.md,2,-,https://github.com/google/devsite-template/blob/191f9b3bc0bf623c21099fcaacbb699ada99b9dc/README.md,https://github.com/google/devsite-template/blob/4c1ecd0349313c66bccc882f21e1f88f273650e4/LICENSE#L147
