code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,doc_link,source_link
@Override,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/test/java/com/google/monitoring/runtime/instrumentation/InstrumentingClassLoader.java#L37
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/main/java/com/google/monitoring/runtime/instrumentation/ConstructorInstrumenter.java#L41
ASM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/test/java/com/google/monitoring/runtime/instrumentation/BUILD#L72
AllocationRecorder,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/main/java/com/google/monitoring/runtime/instrumentation/ConstructorInstrumenter.java#L81
ConstructorCallback,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/test/java/com/google/monitoring/runtime/instrumentation/ConstructorInstrumenterTest.java#L48
ConstructorCallback<Thread>,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/test/java/com/google/monitoring/runtime/instrumentation/ConstructorInstrumenterTest.java#L30
ConstructorInstrumenter,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/test/java/com/google/monitoring/runtime/instrumentation/ConstructorInstrumenterTest.java#L28
Sampler,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/main/java/com/google/monitoring/runtime/instrumentation/Sampler.java#L20
UnmodifiableClassException,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/src/test/java/com/google/monitoring/runtime/instrumentation/ConstructorInstrumenterTest.java#L6
artifactId,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,37,37,37,37,37,37,37,37,37,45,39,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,46,46,46,46,46,46,46,46,46,46,https://github.com/google/allocation-instrumenter/blob/080d9d1cc458d41364050ece9c61be63523c0d2b/README.md,https://github.com/google/allocation-instrumenter/blob/2474fd0e23d4609b0058477042068a8990a3ab22/pom.xml#L24
