code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,doc_link,source_link
-j,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/6246dac1e637c5ccf2b1fa3fba0881d71aaec1a1/glog/m4/libtool.m4#L2042
AutoFDO,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/6246dac1e637c5ccf2b1fa3fba0881d71aaec1a1/profile_writer.h#L15
BINARY,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/6246dac1e637c5ccf2b1fa3fba0881d71aaec1a1/glog/src/signalhandler_unittest.sh#L44
CC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/bc1fccfe711de85f43d52f425735cc97cf93b47c/docs/OptimizeClangO3WithPropeller.md#L111
CPU,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,30,30,30,30,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/6246dac1e637c5ccf2b1fa3fba0881d71aaec1a1/glog/src/utilities.h#L173
DCMAKE_BUILD_TYPE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/bc1fccfe711de85f43d52f425735cc97cf93b47c/propeller_optimize_clang.sh#L35
DCMAKE_CXX_COMPILER,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/bc1fccfe711de85f43d52f425735cc97cf93b47c/propeller_optimize_clang.sh#L49
DCMAKE_C_COMPILER,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/bc1fccfe711de85f43d52f425735cc97cf93b47c/propeller_optimize_clang.sh#L48
DCMAKE_INSTALL_PREFIX,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/bc1fccfe711de85f43d52f425735cc97cf93b47c/propeller_optimize_clang.sh#L36
DLLVM_ENABLE_PROJECTS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,https://github.com/google/autofdo/blob/f57d5108826f31c3f97de5c4f5cb97e38bc3cf02/README.md,https://github.com/google/autofdo/blob/bc1fccfe711de85f43d52f425735cc97cf93b47c/propeller_optimize_clang.sh#L38
