code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
CLI,repo,README.md,20,20,20,20,20,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/src/polyfills.ts#L89
CSS,repo,README.md,146,146,146,146,146,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/src/debug/graph/style.css#L17
NodeJS,repo,README.md,1,1,1,1,1,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/documentation/STYLE_GUIDE.md#L221
README,repo,README.md,3,3,3,3,3,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/src/README.md#L87
TESTING,repo,README.md,1,1,1,1,1,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/firebase/test/test.js#L552
TypeScript,repo,README.md,2,2,2,2,2,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/projects/cd-interfaces/README.md#L3
WebPrototypingTool,repo,README.md,121,121,121,121,121,https://github.com/google/web-prototyping-tool/blob/27cced03fccbd1bd61d19bf82e8a0fd67f8abcef/README.md,https://github.com/google/web-prototyping-tool/blob/2bef427eb2dc22d80fa543fd85e595d7f9579dec/src/manifest.json#L2
