code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
2001:4860:4860::8888,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L242
2001:db8:85a3::8a2e:370:7334,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L241
2606:2800:220:1:248:1893:25c8:1946,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L241
2607:f8b0:4005:807::200e,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L242
ESTABLISHED,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L142
IP,repo,README.md,4,4,4,4,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L107
TCP,repo,README.md,10,10,10,10,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L15
lanW,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L236
macOS,repo,README.md,5,5,5,5,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L15
tcp_killer,repo,README.md,1,1,1,1,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/README.md,https://github.com/google/tcp_killer/blob/48ca820507fe6a0e2aeb89c4c6148449acca9941/tcp_killer.py#L224
