code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
HeaterTimeout,repo,README.md,16,16,17,https://github.com/google/OctoPrint-HeaterTimeout/blob/09793edd9ca7bf40fbda876cbae3b9d33c0a8a79/README.md,https://github.com/google/OctoPrint-HeaterTimeout/blob/b68d1f7526a7c4f78630005f15e40330a2160dc8/setup.py#L17
OctoPrint,repo,README.md,8,8,8,https://github.com/google/OctoPrint-HeaterTimeout/blob/09793edd9ca7bf40fbda876cbae3b9d33c0a8a79/README.md,https://github.com/google/OctoPrint-HeaterTimeout/blob/b68d1f7526a7c4f78630005f15e40330a2160dc8/setup.py#L19
