code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
$HOME,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/4dcbf79ac422c5b92975df3f1060267bd51a699c/util.sh#L43
$HOME/bin/google_closure_templates,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/4dcbf79ac422c5b92975df3f1060267bd51a699c/util.sh#L47
--appid=,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/app.yaml.base#L8
/static,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/src/main.py#L97
/template,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/templates/soy/helloworld.soy#L19
AppEngine,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/static/index.html#L7
BaseAjaxHandler,repo,README.md,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/templates/xssi.tpl#L79
BaseCronHandler,repo,README.md,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/src/main_test.py#L61
BaseHandler,repo,README.md,12,13,13,14,14,14,14,14,14,14,15,15,15,16,16,16,16,16,16,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/src/main_test.py#L49
BaseTaskHandler,repo,README.md,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gae-secure-scaffold-python/blob/c623e8d20e71e987e047f37423af5b1c1c981cbe/README.md,https://github.com/google/gae-secure-scaffold-python/blob/31b4d4b595a84e2a4d12cdf47058f797aa0ee690/src/main_test.py#L63
