code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,doc_link,source_link
API,repo,README.md,-,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,19,19,19,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/examples/cornerstone.min.js.map#L1
CornerstoneImageLoadProgress,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/changelog.md#L39
HTML,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,19,19,20,20,20,20,20,20,19,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/examples/index.html#L1
JPEG,repo,README.md,0,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/src/loadImage.js#L6
PNG,repo,README.md,0,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/src/loadImage.js#L6
cornerstoneWebImageLoader,repo,README.md,0,21,21,21,21,21,21,21,21,21,21,19,19,19,19,29,29,29,29,29,29,29,29,53,42,38,38,39,39,39,40,40,40,40,40,42,42,42,37,37,37,37,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/test/coverage_test.js#L4
imageId,repo,README.md,-,23,52,52,55,33,33,33,33,33,33,21,21,21,21,21,23,26,26,26,26,65,65,71,112,112,112,112,112,112,112,112,130,344,344,344,344,344,344,328,328,527,https://github.com/google/cornerstoneWebImageLoader/blob/f6f61669035ccb58dc28e903e4a9e8cce1064f30/README.md,https://github.com/google/cornerstoneWebImageLoader/blob/0df6cc7897e893338df1d073b0c8b8e8940b2b49/src/loadImage.js#L15
