code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,doc_link,source_link
$FEED_BUCKET,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/install_to_gcp.sh#L136
$FEED_PATH,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/initiate_feed_upload.sh#L45
$GCP_PROJECT,repo,README.md,40,40,40,40,40,40,40,40,40,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,46,46,46,46,46,46,46,46,46,46,46,46,46,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,55,55,55,55,55,55,55,55,55,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/install_to_gcp.sh#L93
$UPDATE_BUCKET,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/install_to_gcp.sh#L141
API,repo,README.md,184,183,183,180,180,180,181,181,181,181,181,181,181,181,181,181,183,183,183,183,183,183,183,183,183,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,186,186,186,186,186,186,186,186,186,187,187,187,187,190,187,190,190,190,190,181,181,181,182,182,182,182,182,182,182,182,182,182,182,193,193,193,193,193,193,193,193,193,193,194,194,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/stackdriver_alerts/content-api-item-insert-errors-policy.yaml#L29
BUCKET,repo,README.md,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/install_to_gcp.sh#L144
BigQuery,repo,README.md,346,346,346,346,346,346,346,346,340,340,340,342,342,342,342,342,342,342,342,342,342,342,342,342,342,343,343,347,347,347,346,346,346,347,349,349,349,349,349,349,352,353,353,353,353,353,354,354,354,354,354,363,363,363,363,363,363,363,363,113,113,113,113,113,113,113,113,113,113,113,113,113,113,136,136,136,136,130,130,130,130,130,130,127,127,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/stackdriver_alerts/schema-config-errors-load-policy.yaml#L29
CLI,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/documentation/maintenance-guide.md#L323
CSV,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/cloud_functions/gcs-bq-retry-feed-load/main.py#L205
EMAIL,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/feedloader/blob/823555a708f774b0c3c8b0a265038c03f2116bf6/README.md,https://github.com/google/feedloader/blob/bd6c6702d56ffc836cbce49559013ae80d11e463/install_to_gcp.sh#L924
