code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,doc_link,source_link
0x0G,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/0x0g-2018-badge/blob/42824bbb959c9e036234d2ff12089855c6440622/README.md,https://github.com/google/0x0g-2018-badge/blob/42824bbb959c9e036234d2ff12089855c6440622/board/badgeelec.sch#L39
DEF,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,733,733,733,733,733,733,733,733,733,733,744,744,744,744,744,744,https://github.com/google/0x0g-2018-badge/blob/42824bbb959c9e036234d2ff12089855c6440622/README.md,https://github.com/google/0x0g-2018-badge/blob/42824bbb959c9e036234d2ff12089855c6440622/programmer/programmer-cache.lib#L6
PIC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/0x0g-2018-badge/blob/42824bbb959c9e036234d2ff12089855c6440622/README.md,https://github.com/google/0x0g-2018-badge/blob/42824bbb959c9e036234d2ff12089855c6440622/engineering_documentation/INSTRUCTIONS.txt#L3
