code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
.asMap(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L186
.openRead(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/lib/crclib.dart#L24
.toSet(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L48
0xCBF43926,repo,README.md,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/crclib_test.dart#L97
CRC,repo,README.md,28,28,28,28,28,28,28,28,28,28,29,30,31,31,31,31,29,29,29,29,109,109,109,109,109,109,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/tool/gen_catalog.dart#L98
Crc32Xz(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/crclib_test.dart#L97
Crc32Zlib(),repo,README.md,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/0bbb3a680aecac1b3b76ebc5446d0deb360355f8/test/crclib_test.dart#L86
CrcFlipper,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,9,9,9,9,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L45
File(...),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/lib/crclib.dart#L24
LOWErcAsEs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
